,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,03041979BrauMgl,1978-79,"Dienstag, 03.04.1979",Braunschweig ,M'gladbach ,3,0,0,0,/braunschweig-gegen-mgladbach-1979-bundesliga-15789/spielinfo
1,04041979DuisKöln,1978-79,"Mittwoch, 04.04.1979",Duisburg ,Köln ,2,1,0,1,/duisburg-gegen-koeln-1979-bundesliga-15785/spielinfo
2,04041979FranStut,1978-79,"Mittwoch, 04.04.1979",Frankfurt ,Stuttgart ,1,2,0,0,/frankfurt-gegen-stuttgart-1979-bundesliga-15786/spielinfo
3,04041979BielBoch,1978-79,"Mittwoch, 04.04.1979",Bielefeld ,Bochum ,1,2,1,1,/bielefeld-gegen-bochum-1979-bundesliga-15787/spielinfo
4,04041979BayeBrem,1978-79,"Mittwoch, 04.04.1979",Bayern ,Bremen ,4,0,1,0,/bayern-gegen-bremen-1979-bundesliga-15788/spielinfo
5,04041979DüssNürn,1978-79,"Mittwoch, 04.04.1979",Düsseldorf ,Nürnberg ,3,3,2,2,/duesseldorf-gegen-nuernberg-1979-bundesliga-15790/spielinfo
6,04041979HSV Kla,1978-79,"Mittwoch, 04.04.1979",HSV ,K'lautern ,3,0,2,0,/hsv-gegen-klautern-1979-bundesliga-15791/spielinfo
7,04041979DortDarm,1978-79,"Mittwoch, 04.04.1979",Dortmund ,Darmstadt ,0,0,0,0,/dortmund-gegen-darmstadt-1979-bundesliga-15792/spielinfo
8,04041979SchaHert,1978-79,"Mittwoch, 04.04.1979",Schalke ,Hertha ,1,1,0,0,/schalke-gegen-hertha-1979-bundesliga-15793/spielinfo
