,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,21031964KölnBrau,1963-64,"Samstag, 21.03.1964",Köln ,Braunschweig ,4,1,1,0,/koeln-gegen-braunschweig-1964-bundesliga-20279/spielinfo
1,21031964HSV Meid,1963-64,"Samstag, 21.03.1964",HSV ,Meidericher SV ,3,3,0,1,/hsv-gegen-duisburg-1964-bundesliga-20280/spielinfo
2,21031964StutKla,1963-64,"Samstag, 21.03.1964",Stuttgart ,K'lautern ,4,0,2,0,/stuttgart-gegen-klautern-1964-bundesliga-20281/spielinfo
3,21031964NürnDort,1963-64,"Samstag, 21.03.1964",Nürnberg ,Dortmund ,4,0,2,0,/nuernberg-gegen-dortmund-1964-bundesliga-20282/spielinfo
4,21031964Saar1860,1963-64,"Samstag, 21.03.1964",Saarbrücken ,1860 München ,1,2,0,1,/saarbruecken-gegen-muenchen-1964-bundesliga-20283/spielinfo
5,21031964MünsKarl,1963-64,"Samstag, 21.03.1964",Münster ,Karlsruhe ,0,0,0,0,/muenster-gegen-karlsruhe-1964-bundesliga-20284/spielinfo
6,21031964SchaFran,1963-64,"Samstag, 21.03.1964",Schalke ,Frankfurt ,1,2,0,0,/schalke-gegen-frankfurt-1964-bundesliga-20285/spielinfo
7,15041964HertBrem,1963-64,"Mittwoch, 15.04.1964",Hertha ,Bremen ,5,2,2,1,/hertha-gegen-bremen-1964-bundesliga-20286/spielinfo
8,26031964BrauSaar,1963-64,"Donnerstag, 26.03.1964",Braunschweig ,Saarbrücken ,3,1,1,1,/braunschweig-gegen-saarbruecken-1964-bundesliga-20225/spielinfo
9,26031964HSV Brem,1963-64,"Donnerstag, 26.03.1964",HSV ,Bremen ,1,1,1,1,/hsv-gegen-bremen-1964-bundesliga-20260/spielinfo
10,260319641860Stut,1963-64,"Donnerstag, 26.03.1964",1860 München ,Stuttgart ,1,1,1,0,/muenchen-gegen-stuttgart-1964-bundesliga-20236/spielinfo
11,27031964HertMeid,1963-64,"Freitag, 27.03.1964",Hertha ,Meidericher SV ,5,2,3,1,/hertha-gegen-duisburg-1964-bundesliga-20234/spielinfo
12,30031964SaarDort,1963-64,"Montag, 30.03.1964",Saarbrücken ,Dortmund ,2,1,0,0,/saarbruecken-gegen-dortmund-1964-bundesliga-20238/spielinfo
13,30031964StutBrem,1963-64,"Montag, 30.03.1964",Stuttgart ,Bremen ,2,0,1,0,/stuttgart-gegen-bremen-1964-bundesliga-20230/spielinfo
14,30031964FranHSV ,1963-64,"Montag, 30.03.1964",Frankfurt ,HSV ,2,2,1,1,/frankfurt-gegen-hsv-1964-bundesliga-20232/spielinfo
15,30031964BrauHert,1963-64,"Montag, 30.03.1964",Braunschweig ,Hertha ,1,1,1,1,/braunschweig-gegen-hertha-1964-bundesliga-20262/spielinfo
16,310319641860Meid,1963-64,"Dienstag, 31.03.1964",1860 München ,Meidericher SV ,0,0,0,0,/muenchen-gegen-duisburg-1964-bundesliga-20250/spielinfo
