,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,011019991860Biel,1999-00,"Freitag, 01.10.1999",1860 München ,Bielefeld ,5,0,1,0,/muenchen-gegen-bielefeld-1999-bundesliga-503102/spielinfo
1,01101999FranStut,1999-00,"Freitag, 01.10.1999",Frankfurt ,Stuttgart ,0,1,0,0,/frankfurt-gegen-stuttgart-1999-bundesliga-503104/spielinfo
2,02101999Ulm HSV ,1999-00,"Samstag, 02.10.1999",Ulm ,HSV ,1,2,0,0,/ulm-gegen-hsv-1999-bundesliga-503096/spielinfo
3,02101999WolfLeve,1999-00,"Samstag, 02.10.1999",Wolfsburg ,Leverkusen ,3,1,1,0,/wolfsburg-gegen-leverkusen-1999-bundesliga-503097/spielinfo
4,02101999HertDuis,1999-00,"Samstag, 02.10.1999",Hertha ,Duisburg ,2,1,0,0,/hertha-gegen-duisburg-1999-bundesliga-503099/spielinfo
5,02101999SchaBaye,1999-00,"Samstag, 02.10.1999",Schalke ,Bayern ,1,1,0,0,/schalke-gegen-bayern-1999-bundesliga-503100/spielinfo
6,02101999DortRost,1999-00,"Samstag, 02.10.1999",Dortmund ,Rostock ,3,0,0,0,/dortmund-gegen-rostock-1999-bundesliga-503101/spielinfo
7,03101999KlaUnte,1999-00,"Sonntag, 03.10.1999",K'lautern ,Unterhaching ,4,2,1,1,/klautern-gegen-unterhaching-1999-bundesliga-503098/spielinfo
8,03101999FreiBrem,1999-00,"Sonntag, 03.10.1999",Freiburg ,Bremen ,2,1,1,0,/freiburg-gegen-bremen-1999-bundesliga-503103/spielinfo
