,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,15081980LeveKla,1980-81,"Freitag, 15.08.1980",Leverkusen ,K'lautern ,0,1,0,1,/leverkusen-gegen-klautern-1980-bundesliga-14968/spielinfo
1,15081980DortUerd,1980-81,"Freitag, 15.08.1980",Dortmund ,Uerdingen ,2,1,2,0,/dortmund-gegen-uerdingen-1980-bundesliga-14972/spielinfo
2,160819801860Boch,1980-81,"Samstag, 16.08.1980",1860 München ,Bochum ,2,2,0,0,/muenchen-gegen-bochum-1980-bundesliga-14965/spielinfo
3,16081980HSV Duis,1980-81,"Samstag, 16.08.1980",HSV ,Duisburg ,0,0,0,0,/hsv-gegen-duisburg-1980-bundesliga-14966/spielinfo
4,16081980StutNürn,1980-81,"Samstag, 16.08.1980",Stuttgart ,Nürnberg ,2,1,2,0,/stuttgart-gegen-nuernberg-1980-bundesliga-14967/spielinfo
5,16081980BielKöln,1980-81,"Samstag, 16.08.1980",Bielefeld ,Köln ,2,5,1,1,/bielefeld-gegen-koeln-1980-bundesliga-14969/spielinfo
6,16081980SchaFran,1980-81,"Samstag, 16.08.1980",Schalke ,Frankfurt ,1,4,1,3,/schalke-gegen-frankfurt-1980-bundesliga-14970/spielinfo
7,16081980DüssMgl,1980-81,"Samstag, 16.08.1980",Düsseldorf ,M'gladbach ,2,1,0,0,/duesseldorf-gegen-mgladbach-1980-bundesliga-14971/spielinfo
8,16081980KarlBaye,1980-81,"Samstag, 16.08.1980",Karlsruhe ,Bayern ,0,3,0,1,/karlsruhe-gegen-bayern-1980-bundesliga-14973/spielinfo
