,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,01111991DuisFran,1991-92,"Freitag, 01.11.1991",Duisburg ,Frankfurt ,3,6,1,3,/duisburg-gegen-frankfurt-1991-bundesliga-11654/spielinfo
1,01111991WattBaye,1991-92,"Freitag, 01.11.1991",Wattenscheid ,Bayern ,0,0,0,0,/wattenscheid-gegen-bayern-1991-bundesliga-11655/spielinfo
2,01111991BremKla,1991-92,"Freitag, 01.11.1991",Bremen ,K'lautern ,0,2,0,0,/bremen-gegen-klautern-1991-bundesliga-11656/spielinfo
3,02111991MglDort,1991-92,"Samstag, 02.11.1991",M'gladbach ,Dortmund ,1,1,0,0,/mgladbach-gegen-dortmund-1991-bundesliga-11657/spielinfo
4,02111991SchaDres,1991-92,"Samstag, 02.11.1991",Schalke ,Dresden ,1,1,0,1,/schalke-gegen-dresden-1991-bundesliga-11658/spielinfo
5,02111991DüssBoch,1991-92,"Samstag, 02.11.1991",Düsseldorf ,Bochum ,3,0,2,0,/duesseldorf-gegen-bochum-1991-bundesliga-11659/spielinfo
6,02111991RostKöln,1991-92,"Samstag, 02.11.1991",Rostock ,Köln ,1,1,0,1,/rostock-gegen-koeln-1991-bundesliga-11660/spielinfo
7,02111991KarlHSV ,1991-92,"Samstag, 02.11.1991",Karlsruhe ,HSV ,4,1,2,0,/karlsruhe-gegen-hsv-1991-bundesliga-11661/spielinfo
8,02111991LeveNürn,1991-92,"Samstag, 02.11.1991",Leverkusen ,Nürnberg ,0,1,0,0,/leverkusen-gegen-nuernberg-1991-bundesliga-11662/spielinfo
9,02111991StutStg.,1991-92,"Samstag, 02.11.1991",Stuttgart ,Stg. Kickers ,3,1,1,1,/stuttgart-gegen-stg-kickers-1991-bundesliga-11663/spielinfo
