,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,31081971OberBaye,1971-72,"Dienstag, 31.08.1971",Oberhausen ,Bayern ,1,1,1,0,/oberhausen-gegen-bayern-1971-bundesliga-17738/spielinfo
1,31081971DortFran,1971-72,"Dienstag, 31.08.1971",Dortmund ,Frankfurt ,3,1,3,0,/dortmund-gegen-frankfurt-1971-bundesliga-17743/spielinfo
2,31081971MglStut,1971-72,"Dienstag, 31.08.1971",M'gladbach ,Stuttgart ,0,0,0,0,/mgladbach-gegen-stuttgart-1971-bundesliga-17745/spielinfo
3,01091971SchaKöln,1971-72,"Mittwoch, 01.09.1971",Schalke ,Köln ,6,2,4,0,/schalke-gegen-koeln-1971-bundesliga-17737/spielinfo
4,01091971HertDuis,1971-72,"Mittwoch, 01.09.1971",Hertha ,Duisburg ,1,0,1,0,/hertha-gegen-duisburg-1971-bundesliga-17739/spielinfo
5,01091971BrauHann,1971-72,"Mittwoch, 01.09.1971",Braunschweig ,Hannover ,3,0,1,0,/braunschweig-gegen-hannover-1971-bundesliga-17740/spielinfo
6,01091971DüssHSV ,1971-72,"Mittwoch, 01.09.1971",Düsseldorf ,HSV ,0,0,0,0,/duesseldorf-gegen-hsv-1971-bundesliga-17741/spielinfo
7,01091971KlaBoch,1971-72,"Mittwoch, 01.09.1971",K'lautern ,Bochum ,4,1,1,1,/klautern-gegen-bochum-1971-bundesliga-17742/spielinfo
8,01091971BremBiel,1971-72,"Mittwoch, 01.09.1971",Bremen ,Bielefeld ,4,0,3,0,/bremen-gegen-bielefeld-1971-bundesliga-17744/spielinfo
