,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,02022024HeidDort,2023-24,"Freitag, 02.02.2024",Heidenheim ,Dortmund ,0,0,0,0,/heidenheim-gegen-dortmund-2024-bundesliga-4862144/spielinfo
1,03022024BayeMgl,2023-24,"Samstag, 03.02.2024",Bayern ,M'gladbach ,3,1,1,1,/bayern-gegen-mgladbach-2024-bundesliga-4862137/spielinfo
2,03022024FreiStut,2023-24,"Samstag, 03.02.2024",Freiburg ,Stuttgart ,1,3,1,2,/freiburg-gegen-stuttgart-2024-bundesliga-4862139/spielinfo
3,03022024MainBrem,2023-24,"Samstag, 03.02.2024",Mainz ,Bremen ,0,1,0,1,/mainz-gegen-bremen-2024-bundesliga-4862141/spielinfo
4,03022024BochAugs,2023-24,"Samstag, 03.02.2024",Bochum ,Augsburg ,1,1,1,0,/bochum-gegen-augsburg-2024-bundesliga-4862143/spielinfo
5,03022024DarmLeve,2023-24,"Samstag, 03.02.2024",Darmstadt ,Leverkusen ,0,2,0,1,/darmstadt-gegen-leverkusen-2024-bundesliga-4862145/spielinfo
6,03022024KölnFran,2023-24,"Samstag, 03.02.2024",Köln ,Frankfurt ,2,0,0,0,/koeln-gegen-frankfurt-2024-bundesliga-4862142/spielinfo
7,04022024WolfHoff,2023-24,"Sonntag, 04.02.2024",Wolfsburg ,Hoffenheim ,2,2,0,1,/wolfsburg-gegen-hoffenheim-2024-bundesliga-4862140/spielinfo
8,04022024LeipUnio,2023-24,"Sonntag, 04.02.2024",Leipzig ,Union ,2,0,1,0,/leipzig-gegen-union-2024-bundesliga-4862138/spielinfo
9,07022024MainUnio,2023-24,"Mittwoch, 07.02.2024",Mainz ,Union ,1,1,1,1,/mainz-gegen-union-2024-bundesliga-4862122/spielinfo
