,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,14101983OffeUerd,1983-84,"Freitag, 14.10.1983",Offenbach ,Uerdingen ,3,2,1,2,/offenbach-gegen-uerdingen-1983-bundesliga-14130/spielinfo
1,14101983BremDort,1983-84,"Freitag, 14.10.1983",Bremen ,Dortmund ,2,1,1,0,/bremen-gegen-dortmund-1983-bundesliga-14137/spielinfo
2,15101983BrauKla,1983-84,"Samstag, 15.10.1983",Braunschweig ,K'lautern ,4,0,0,0,/braunschweig-gegen-klautern-1983-bundesliga-14129/spielinfo
3,15101983DüssLeve,1983-84,"Samstag, 15.10.1983",Düsseldorf ,Leverkusen ,2,2,0,2,/duesseldorf-gegen-leverkusen-1983-bundesliga-14131/spielinfo
4,15101983BielStut,1983-84,"Samstag, 15.10.1983",Bielefeld ,Stuttgart ,0,0,0,0,/bielefeld-gegen-stuttgart-1983-bundesliga-14132/spielinfo
5,15101983KölnBaye,1983-84,"Samstag, 15.10.1983",Köln ,Bayern ,2,0,0,0,/koeln-gegen-bayern-1983-bundesliga-14133/spielinfo
6,15101983MglNürn,1983-84,"Samstag, 15.10.1983",M'gladbach ,Nürnberg ,2,0,2,0,/mgladbach-gegen-nuernberg-1983-bundesliga-14134/spielinfo
7,15101983BochFran,1983-84,"Samstag, 15.10.1983",Bochum ,Frankfurt ,4,1,1,0,/bochum-gegen-frankfurt-1983-bundesliga-14135/spielinfo
8,15101983MannHSV ,1983-84,"Samstag, 15.10.1983",Mannheim ,HSV ,0,1,0,0,/mannheim-gegen-hsv-1983-bundesliga-14136/spielinfo
