,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,07122018BremDüss,2018-19,"Freitag, 07.12.2018",Bremen ,Düsseldorf ,3,1,1,1,/bremen-gegen-duesseldorf-2018-bundesliga-4243387/spielinfo
1,08122018BayeNürn,2018-19,"Samstag, 08.12.2018",Bayern ,Nürnberg ,3,0,2,0,/bayern-gegen-nuernberg-2018-bundesliga-4243382/spielinfo
2,08122018SchaDort,2018-19,"Samstag, 08.12.2018",Schalke ,Dortmund ,1,2,0,1,/schalke-gegen-dortmund-2018-bundesliga-4243383/spielinfo
3,08122018LeveAugs,2018-19,"Samstag, 08.12.2018",Leverkusen ,Augsburg ,1,0,0,0,/leverkusen-gegen-augsburg-2018-bundesliga-4243384/spielinfo
4,08122018FreiLeip,2018-19,"Samstag, 08.12.2018",Freiburg ,Leipzig ,3,0,2,0,/freiburg-gegen-leipzig-2018-bundesliga-4243388/spielinfo
5,08122018WolfHoff,2018-19,"Samstag, 08.12.2018",Wolfsburg ,Hoffenheim ,2,2,2,1,/wolfsburg-gegen-hoffenheim-2018-bundesliga-4243390/spielinfo
6,08122018HertFran,2018-19,"Samstag, 08.12.2018",Hertha ,Frankfurt ,1,0,1,0,/hertha-gegen-frankfurt-2018-bundesliga-4243386/spielinfo
7,09122018MainHann,2018-19,"Sonntag, 09.12.2018",Mainz ,Hannover ,1,1,0,1,/mainz-gegen-hannover-2018-bundesliga-4243389/spielinfo
8,09122018MglStut,2018-19,"Sonntag, 09.12.2018",M'gladbach ,Stuttgart ,3,0,0,0,/mgladbach-gegen-stuttgart-2018-bundesliga-4243385/spielinfo
