,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,17031978KlaSt. ,1977-78,"Freitag, 17.03.1978",K'lautern ,St. Pauli ,2,1,1,0,/klautern-gegen-st-pauli-1978-bundesliga-16137/spielinfo
1,17031978StutBoch,1977-78,"Freitag, 17.03.1978",Stuttgart ,Bochum ,3,1,2,1,/stuttgart-gegen-bochum-1978-bundesliga-16142/spielinfo
2,18031978FranDüss,1977-78,"Samstag, 18.03.1978",Frankfurt ,Düsseldorf ,4,0,2,0,/frankfurt-gegen-duesseldorf-1978-bundesliga-16136/spielinfo
3,18031978MglBrau,1977-78,"Samstag, 18.03.1978",M'gladbach ,Braunschweig ,3,1,1,1,/mgladbach-gegen-braunschweig-1978-bundesliga-16138/spielinfo
4,18031978HertBaye,1977-78,"Samstag, 18.03.1978",Hertha ,Bayern ,3,1,1,0,/hertha-gegen-bayern-1978-bundesliga-16139/spielinfo
5,18031978DuisBrem,1977-78,"Samstag, 18.03.1978",Duisburg ,Bremen ,2,0,1,0,/duisburg-gegen-bremen-1978-bundesliga-16140/spielinfo
6,180319781860Köln,1977-78,"Samstag, 18.03.1978",1860 München ,Köln ,1,3,1,1,/muenchen-gegen-koeln-1978-bundesliga-16141/spielinfo
7,18031978HSV Scha,1977-78,"Samstag, 18.03.1978",HSV ,Schalke ,2,0,1,0,/hsv-gegen-schalke-1978-bundesliga-16143/spielinfo
8,18031978DortSaar,1977-78,"Samstag, 18.03.1978",Dortmund ,Saarbrücken ,2,1,1,0,/dortmund-gegen-saarbruecken-1978-bundesliga-16144/spielinfo
9,22031978BrauScha,1977-78,"Mittwoch, 22.03.1978",Braunschweig ,Schalke ,3,1,2,0,/braunschweig-gegen-schalke-1978-bundesliga-16111/spielinfo
10,25031978MglDüss,1977-78,"Samstag, 25.03.1978",M'gladbach ,Düsseldorf ,3,2,0,1,/mgladbach-gegen-duesseldorf-1978-bundesliga-16101/spielinfo
11,25031978BochSaar,1977-78,"Samstag, 25.03.1978",Bochum ,Saarbrücken ,4,2,1,1,/bochum-gegen-saarbruecken-1978-bundesliga-16112/spielinfo
12,25031978KlaFran,1977-78,"Samstag, 25.03.1978",K'lautern ,Frankfurt ,2,0,1,0,/klautern-gegen-frankfurt-1978-bundesliga-16113/spielinfo
13,25031978St. Duis,1977-78,"Samstag, 25.03.1978",St. Pauli ,Duisburg ,2,2,0,1,/st-pauli-gegen-duisburg-1978-bundesliga-16115/spielinfo
14,28031978DuisStut,1977-78,"Dienstag, 28.03.1978",Duisburg ,Stuttgart ,2,1,1,1,/duisburg-gegen-stuttgart-1978-bundesliga-16100/spielinfo
