,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,200219651860Hert,1964-65,"Samstag, 20.02.1965",1860 München ,Hertha ,6,4,3,1,/muenchen-gegen-hertha-1965-bundesliga-20015/spielinfo
1,20021965SchaStut,1964-65,"Samstag, 20.02.1965",Schalke ,Stuttgart ,3,1,1,0,/schalke-gegen-stuttgart-1965-bundesliga-20016/spielinfo
2,20021965MeidNeun,1964-65,"Samstag, 20.02.1965",Meidericher SV ,Neunkirchen ,1,1,0,0,/duisburg-gegen-neunkirchen-1965-bundesliga-20017/spielinfo
3,20021965BremHann,1964-65,"Samstag, 20.02.1965",Bremen ,Hannover ,3,0,1,0,/bremen-gegen-hannover-1965-bundesliga-20018/spielinfo
4,20021965FranHSV ,1964-65,"Samstag, 20.02.1965",Frankfurt ,HSV ,2,1,0,1,/frankfurt-gegen-hsv-1965-bundesliga-20019/spielinfo
5,20021965KarlNürn,1964-65,"Samstag, 20.02.1965",Karlsruhe ,Nürnberg ,1,1,0,1,/karlsruhe-gegen-nuernberg-1965-bundesliga-20020/spielinfo
6,20021965KlaDort,1964-65,"Samstag, 20.02.1965",K'lautern ,Dortmund ,1,3,1,2,/klautern-gegen-dortmund-1965-bundesliga-20021/spielinfo
7,20021965BrauKöln,1964-65,"Samstag, 20.02.1965",Braunschweig ,Köln ,1,1,1,1,/braunschweig-gegen-koeln-1965-bundesliga-20022/spielinfo
8,270219651860Karl,1964-65,"Samstag, 27.02.1965",1860 München ,Karlsruhe ,9,0,5,0,/muenchen-gegen-karlsruhe-1965-bundesliga-19984/spielinfo
9,27021965KlaNeun,1964-65,"Samstag, 27.02.1965",K'lautern ,Neunkirchen ,2,0,1,0,/klautern-gegen-neunkirchen-1965-bundesliga-20009/spielinfo
