,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,14092002CottBrem,2002-03,"Samstag, 14.09.2002",Cottbus ,Bremen ,0,1,0,0,/cottbus-gegen-bremen-2002-bundesliga-572192/spielinfo
1,14092002NürnBaye,2002-03,"Samstag, 14.09.2002",Nürnberg ,Bayern ,1,2,1,1,/nuernberg-gegen-bayern-2002-bundesliga-572193/spielinfo
2,140920021860Wolf,2002-03,"Samstag, 14.09.2002",1860 München ,Wolfsburg ,2,2,0,0,/muenchen-gegen-wolfsburg-2002-bundesliga-572194/spielinfo
3,14092002BielHert,2002-03,"Samstag, 14.09.2002",Bielefeld ,Hertha ,0,1,0,0,/bielefeld-gegen-hertha-2002-bundesliga-572196/spielinfo
4,14092002MglStut,2002-03,"Samstag, 14.09.2002",M'gladbach ,Stuttgart ,1,1,0,0,/mgladbach-gegen-stuttgart-2002-bundesliga-572197/spielinfo
5,14092002LeveHann,2002-03,"Samstag, 14.09.2002",Leverkusen ,Hannover ,1,3,1,1,/leverkusen-gegen-hannover-2002-bundesliga-572199/spielinfo
6,14092002DortScha,2002-03,"Samstag, 14.09.2002",Dortmund ,Schalke ,1,1,0,0,/dortmund-gegen-schalke-2002-bundesliga-572200/spielinfo
7,15092002HSV Kla,2002-03,"Sonntag, 15.09.2002",HSV ,K'lautern ,2,0,0,0,/hsv-gegen-klautern-2002-bundesliga-572195/spielinfo
8,15092002BochRost,2002-03,"Sonntag, 15.09.2002",Bochum ,Rostock ,0,1,0,1,/bochum-gegen-rostock-2002-bundesliga-572198/spielinfo
