,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,16102004MainBrem,2004-05,"Samstag, 16.10.2004",Mainz ,Bremen ,2,1,0,0,/mainz-gegen-bremen-2004-bundesliga-677734/spielinfo
1,16102004BayeScha,2004-05,"Samstag, 16.10.2004",Bayern ,Schalke ,0,1,0,0,/bayern-gegen-schalke-2004-bundesliga-677735/spielinfo
2,16102004BochRost,2004-05,"Samstag, 16.10.2004",Bochum ,Rostock ,0,1,0,0,/bochum-gegen-rostock-2004-bundesliga-677736/spielinfo
3,16102004HertLeve,2004-05,"Samstag, 16.10.2004",Hertha ,Leverkusen ,3,1,1,0,/hertha-gegen-leverkusen-2004-bundesliga-677739/spielinfo
4,16102004HSV Biel,2004-05,"Samstag, 16.10.2004",HSV ,Bielefeld ,0,2,0,0,/hsv-gegen-bielefeld-2004-bundesliga-677740/spielinfo
5,16102004StutDort,2004-05,"Samstag, 16.10.2004",Stuttgart ,Dortmund ,2,0,0,0,/stuttgart-gegen-dortmund-2004-bundesliga-677741/spielinfo
6,16102004NürnFrei,2004-05,"Samstag, 16.10.2004",Nürnberg ,Freiburg ,3,0,1,0,/nuernberg-gegen-freiburg-2004-bundesliga-677742/spielinfo
7,17102004HannWolf,2004-05,"Sonntag, 17.10.2004",Hannover ,Wolfsburg ,3,0,1,0,/hannover-gegen-wolfsburg-2004-bundesliga-677737/spielinfo
8,17102004MglKla,2004-05,"Sonntag, 17.10.2004",M'gladbach ,K'lautern ,2,0,0,0,/mgladbach-gegen-klautern-2004-bundesliga-677738/spielinfo
