,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,08032014SchaHoff,2013-14,"Samstag, 08.03.2014",Schalke ,Hoffenheim ,4,0,2,0,/schalke-gegen-hoffenheim-2014-bundesliga-1895081/spielinfo
1,08032014MglAugs,2013-14,"Samstag, 08.03.2014",M'gladbach ,Augsburg ,1,2,1,1,/mgladbach-gegen-augsburg-2014-bundesliga-1895082/spielinfo
2,08032014StutBrau,2013-14,"Samstag, 08.03.2014",Stuttgart ,Braunschweig ,2,2,2,1,/stuttgart-gegen-braunschweig-2014-bundesliga-1895083/spielinfo
3,08032014HannLeve,2013-14,"Samstag, 08.03.2014",Hannover ,Leverkusen ,1,1,1,1,/hannover-gegen-leverkusen-2014-bundesliga-1895084/spielinfo
4,08032014WolfBaye,2013-14,"Samstag, 08.03.2014",Wolfsburg ,Bayern ,1,6,1,1,/wolfsburg-gegen-bayern-2014-bundesliga-1895085/spielinfo
5,08032014HSV Fran,2013-14,"Samstag, 08.03.2014",HSV ,Frankfurt ,1,1,0,1,/hsv-gegen-frankfurt-2014-bundesliga-1895089/spielinfo
6,08032014NürnBrem,2013-14,"Samstag, 08.03.2014",Nürnberg ,Bremen ,0,2,0,1,/nuernberg-gegen-bremen-2014-bundesliga-1895086/spielinfo
7,09032014FreiDort,2013-14,"Sonntag, 09.03.2014",Freiburg ,Dortmund ,0,1,0,0,/freiburg-gegen-dortmund-2014-bundesliga-1895087/spielinfo
8,09032014MainHert,2013-14,"Sonntag, 09.03.2014",Mainz ,Hertha ,1,1,0,0,/mainz-gegen-hertha-2014-bundesliga-1895088/spielinfo
