,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,07091973HannOffe,1973-74,"Freitag, 07.09.1973",Hannover ,Offenbach ,2,3,1,1,/hannover-gegen-offenbach-1973-bundesliga-17146/spielinfo
1,07091973DuisStut,1973-74,"Freitag, 07.09.1973",Duisburg ,Stuttgart ,1,0,0,0,/duisburg-gegen-stuttgart-1973-bundesliga-17150/spielinfo
2,08091973FranHSV ,1973-74,"Samstag, 08.09.1973",Frankfurt ,HSV ,1,0,0,0,/frankfurt-gegen-hsv-1973-bundesliga-17144/spielinfo
3,08091973SchaBaye,1973-74,"Samstag, 08.09.1973",Schalke ,Bayern ,5,5,5,2,/schalke-gegen-bayern-1973-bundesliga-17145/spielinfo
4,08091973BremMgl,1973-74,"Samstag, 08.09.1973",Bremen ,M'gladbach ,2,3,2,0,/bremen-gegen-mgladbach-1973-bundesliga-17147/spielinfo
5,08091973KölnBoch,1973-74,"Samstag, 08.09.1973",Köln ,Bochum ,2,2,1,0,/koeln-gegen-bochum-1973-bundesliga-17148/spielinfo
6,08091973WuppF. K,1973-74,"Samstag, 08.09.1973",Wuppertaler SV ,F. Köln ,0,0,0,0,/wuppertal-gegen-f-koeln-1973-bundesliga-17149/spielinfo
7,08091973HertEsse,1973-74,"Samstag, 08.09.1973",Hertha ,Essen ,1,1,0,0,/hertha-gegen-essen-1973-bundesliga-17151/spielinfo
8,08091973DüssKla,1973-74,"Samstag, 08.09.1973",Düsseldorf ,K'lautern ,2,5,2,2,/duesseldorf-gegen-klautern-1973-bundesliga-17152/spielinfo
