,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,29031969HertMgl,1968-69,"Samstag, 29.03.1969",Hertha ,M'gladbach ,2,1,1,0,/hertha-gegen-mgladbach-1969-bundesliga-18867/spielinfo
1,29031969DuisNürn,1968-69,"Samstag, 29.03.1969",Duisburg ,Nürnberg ,1,0,0,0,/duisburg-gegen-nuernberg-1969-bundesliga-18868/spielinfo
2,29031969SchaHann,1968-69,"Samstag, 29.03.1969",Schalke ,Hannover ,1,1,1,1,/schalke-gegen-hannover-1969-bundesliga-18869/spielinfo
3,29031969StutDort,1968-69,"Samstag, 29.03.1969",Stuttgart ,Dortmund ,2,2,1,0,/stuttgart-gegen-dortmund-1969-bundesliga-18870/spielinfo
4,29031969HSV Kla,1968-69,"Samstag, 29.03.1969",HSV ,K'lautern ,3,1,1,1,/hsv-gegen-klautern-1969-bundesliga-18871/spielinfo
5,29031969BayeBrem,1968-69,"Samstag, 29.03.1969",Bayern ,Bremen ,6,0,2,0,/bayern-gegen-bremen-1969-bundesliga-18872/spielinfo
6,29031969Aach1860,1968-69,"Samstag, 29.03.1969",Aachen ,1860 München ,4,0,2,0,/aachen-gegen-muenchen-1969-bundesliga-18873/spielinfo
7,29031969FranOffe,1968-69,"Samstag, 29.03.1969",Frankfurt ,Offenbach ,3,2,1,1,/frankfurt-gegen-offenbach-1969-bundesliga-18875/spielinfo
8,03051969BrauKöln,1968-69,"Samstag, 03.05.1969",Braunschweig ,Köln ,2,1,2,1,/braunschweig-gegen-koeln-1969-bundesliga-18874/spielinfo
9,03041969HertBrau,1968-69,"Donnerstag, 03.04.1969",Hertha ,Braunschweig ,0,0,0,0,/hertha-gegen-braunschweig-1969-bundesliga-18795/spielinfo
10,08041969BremHert,1968-69,"Dienstag, 08.04.1969",Bremen ,Hertha ,2,0,0,0,/bremen-gegen-hertha-1969-bundesliga-18822/spielinfo
11,08041969BrauAach,1968-69,"Dienstag, 08.04.1969",Braunschweig ,Aachen ,2,0,0,0,/braunschweig-gegen-aachen-1969-bundesliga-18830/spielinfo
12,09041969HSV Nürn,1968-69,"Mittwoch, 09.04.1969",HSV ,Nürnberg ,4,2,0,0,/hsv-gegen-nuernberg-1969-bundesliga-18832/spielinfo
13,09041969HannKla,1968-69,"Mittwoch, 09.04.1969",Hannover ,K'lautern ,0,2,0,1,/hannover-gegen-klautern-1969-bundesliga-18847/spielinfo
14,09041969KölnStut,1968-69,"Mittwoch, 09.04.1969",Köln ,Stuttgart ,5,2,3,1,/koeln-gegen-stuttgart-1969-bundesliga-18882/spielinfo
