,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,01052009BochHann,2008-09,"Freitag, 01.05.2009",Bochum ,Hannover ,0,2,0,2,/bochum-gegen-hannover-2009-bundesliga-863679/spielinfo
1,02052009BielStut,2008-09,"Samstag, 02.05.2009",Bielefeld ,Stuttgart ,2,2,1,2,/bielefeld-gegen-stuttgart-2009-bundesliga-863677/spielinfo
2,02052009SchaLeve,2008-09,"Samstag, 02.05.2009",Schalke ,Leverkusen ,1,2,0,2,/schalke-gegen-leverkusen-2009-bundesliga-863678/spielinfo
3,02052009FranDort,2008-09,"Samstag, 02.05.2009",Frankfurt ,Dortmund ,0,2,0,0,/frankfurt-gegen-dortmund-2009-bundesliga-863681/spielinfo
4,02052009KarlCott,2008-09,"Samstag, 02.05.2009",Karlsruhe ,Cottbus ,0,0,0,0,/karlsruhe-gegen-cottbus-2009-bundesliga-863682/spielinfo
5,02052009BayeMgl,2008-09,"Samstag, 02.05.2009",Bayern ,M'gladbach ,2,1,2,1,/bayern-gegen-mgladbach-2009-bundesliga-863683/spielinfo
6,02052009WolfHoff,2008-09,"Samstag, 02.05.2009",Wolfsburg ,Hoffenheim ,4,0,0,0,/wolfsburg-gegen-hoffenheim-2009-bundesliga-863684/spielinfo
7,03052009KölnBrem,2008-09,"Sonntag, 03.05.2009",Köln ,Bremen ,1,0,0,0,/koeln-gegen-bremen-2009-bundesliga-863676/spielinfo
8,03052009HSV Hert,2008-09,"Sonntag, 03.05.2009",HSV ,Hertha ,1,1,1,0,/hsv-gegen-hertha-2009-bundesliga-863680/spielinfo
