,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,17081973BremStut,1973-74,"Freitag, 17.08.1973",Bremen ,Stuttgart ,1,1,0,0,/bremen-gegen-stuttgart-1973-bundesliga-17112/spielinfo
1,17081973SchaBoch,1973-74,"Freitag, 17.08.1973",Schalke ,Bochum ,3,1,2,1,/schalke-gegen-bochum-1973-bundesliga-17114/spielinfo
2,18081973FranDuis,1973-74,"Samstag, 18.08.1973",Frankfurt ,Duisburg ,3,0,0,0,/frankfurt-gegen-duisburg-1973-bundesliga-17108/spielinfo
3,18081973F. KBaye,1973-74,"Samstag, 18.08.1973",F. Köln ,Bayern ,0,3,0,1,/f-koeln-gegen-bayern-1973-bundesliga-17109/spielinfo
4,18081973HannKla,1973-74,"Samstag, 18.08.1973",Hannover ,K'lautern ,4,2,3,1,/hannover-gegen-klautern-1973-bundesliga-17110/spielinfo
5,18081973HertOffe,1973-74,"Samstag, 18.08.1973",Hertha ,Offenbach ,2,2,1,1,/hertha-gegen-offenbach-1973-bundesliga-17111/spielinfo
6,18081973WuppHSV ,1973-74,"Samstag, 18.08.1973",Wuppertaler SV ,HSV ,3,0,2,0,/wuppertal-gegen-hsv-1973-bundesliga-17113/spielinfo
7,18081973DüssKöln,1973-74,"Samstag, 18.08.1973",Düsseldorf ,Köln ,3,0,1,0,/duesseldorf-gegen-koeln-1973-bundesliga-17115/spielinfo
8,18081973EsseMgl,1973-74,"Samstag, 18.08.1973",Essen ,M'gladbach ,2,6,2,2,/essen-gegen-mgladbach-1973-bundesliga-17116/spielinfo
