,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,16041991KarlStut,1990-91,"Dienstag, 16.04.1991",Karlsruhe ,Stuttgart ,0,0,0,0,/karlsruhe-gegen-stuttgart-1991-bundesliga-12135/spielinfo
1,16041991MglBaye,1990-91,"Dienstag, 16.04.1991",M'gladbach ,Bayern ,1,1,0,0,/mgladbach-gegen-bayern-1991-bundesliga-12136/spielinfo
2,16041991BochUerd,1990-91,"Dienstag, 16.04.1991",Bochum ,Uerdingen ,0,2,0,1,/bochum-gegen-uerdingen-1991-bundesliga-12137/spielinfo
3,16041991FranWatt,1990-91,"Dienstag, 16.04.1991",Frankfurt ,Wattenscheid ,4,0,1,0,/frankfurt-gegen-wattenscheid-1991-bundesliga-12138/spielinfo
4,17041991HSV Dort,1990-91,"Mittwoch, 17.04.1991",HSV ,Dortmund ,4,0,2,0,/hsv-gegen-dortmund-1991-bundesliga-12139/spielinfo
5,17041991BremNürn,1990-91,"Mittwoch, 17.04.1991",Bremen ,Nürnberg ,0,0,0,0,/bremen-gegen-nuernberg-1991-bundesliga-12140/spielinfo
6,17041991KölnHert,1990-91,"Mittwoch, 17.04.1991",Köln ,Hertha ,2,1,0,1,/koeln-gegen-hertha-1991-bundesliga-12141/spielinfo
7,17041991KlaSt. ,1990-91,"Mittwoch, 17.04.1991",K'lautern ,St. Pauli ,1,0,0,0,/klautern-gegen-st-pauli-1991-bundesliga-12142/spielinfo
8,17041991DüssLeve,1990-91,"Mittwoch, 17.04.1991",Düsseldorf ,Leverkusen ,0,2,0,1,/duesseldorf-gegen-leverkusen-1991-bundesliga-12143/spielinfo
