,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,11022000BielKla,1999-00,"Freitag, 11.02.2000",Bielefeld ,K'lautern ,1,2,1,1,/bielefeld-gegen-klautern-2000-bundesliga-503215/spielinfo
1,11022000BremHert,1999-00,"Freitag, 11.02.2000",Bremen ,Hertha ,4,1,3,0,/bremen-gegen-hertha-2000-bundesliga-503216/spielinfo
2,12022000DortUlm ,1999-00,"Samstag, 12.02.2000",Dortmund ,Ulm ,1,1,1,0,/dortmund-gegen-ulm-2000-bundesliga-503213/spielinfo
3,12022000RostWolf,1999-00,"Samstag, 12.02.2000",Rostock ,Wolfsburg ,1,1,1,0,/rostock-gegen-wolfsburg-2000-bundesliga-503214/spielinfo
4,12022000LeveStut,1999-00,"Samstag, 12.02.2000",Leverkusen ,Stuttgart ,1,0,0,0,/leverkusen-gegen-stuttgart-2000-bundesliga-503218/spielinfo
5,12022000UnteBaye,1999-00,"Samstag, 12.02.2000",Unterhaching ,Bayern ,0,2,0,0,/unterhaching-gegen-bayern-2000-bundesliga-503219/spielinfo
6,12022000DuisFran,1999-00,"Samstag, 12.02.2000",Duisburg ,Frankfurt ,2,3,1,2,/duisburg-gegen-frankfurt-2000-bundesliga-503221/spielinfo
7,13022000HSV Scha,1999-00,"Sonntag, 13.02.2000",HSV ,Schalke ,3,1,0,1,/hsv-gegen-schalke-2000-bundesliga-503217/spielinfo
8,130220001860Frei,1999-00,"Sonntag, 13.02.2000",1860 München ,Freiburg ,3,1,1,1,/muenchen-gegen-freiburg-2000-bundesliga-503220/spielinfo
