,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,10112006BremDort,2006-07,"Freitag, 10.11.2006",Bremen ,Dortmund ,1,3,1,1,/bremen-gegen-dortmund-2006-bundesliga-763414/spielinfo
1,11112006HSV Mgl,2006-07,"Samstag, 11.11.2006",HSV ,M'gladbach ,1,1,0,0,/hsv-gegen-mgladbach-2006-bundesliga-763415/spielinfo
2,11112006SchaMain,2006-07,"Samstag, 11.11.2006",Schalke ,Mainz ,4,0,3,0,/schalke-gegen-mainz-2006-bundesliga-763416/spielinfo
3,11112006LeveBaye,2006-07,"Samstag, 11.11.2006",Leverkusen ,Bayern ,2,3,0,1,/leverkusen-gegen-bayern-2006-bundesliga-763417/spielinfo
4,11112006HertBoch,2006-07,"Samstag, 11.11.2006",Hertha ,Bochum ,3,3,1,2,/hertha-gegen-bochum-2006-bundesliga-763418/spielinfo
5,11112006FranBiel,2006-07,"Samstag, 11.11.2006",Frankfurt ,Bielefeld ,0,3,0,1,/frankfurt-gegen-bielefeld-2006-bundesliga-763420/spielinfo
6,11112006WolfCott,2006-07,"Samstag, 11.11.2006",Wolfsburg ,Cottbus ,0,0,0,0,/wolfsburg-gegen-cottbus-2006-bundesliga-763421/spielinfo
7,12112006HannStut,2006-07,"Sonntag, 12.11.2006",Hannover ,Stuttgart ,1,2,1,0,/hannover-gegen-stuttgart-2006-bundesliga-763419/spielinfo
8,12112006AachNürn,2006-07,"Sonntag, 12.11.2006",Aachen ,Nürnberg ,1,1,0,1,/aachen-gegen-nuernberg-2006-bundesliga-763422/spielinfo
