,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,22112014BayeHoff,2014-15,"Samstag, 22.11.2014",Bayern ,Hoffenheim ,4,0,2,0,/bayern-gegen-hoffenheim-2014-bundesliga-2407326/spielinfo
1,22112014SchaWolf,2014-15,"Samstag, 22.11.2014",Schalke ,Wolfsburg ,3,2,3,1,/schalke-gegen-wolfsburg-2014-bundesliga-2407327/spielinfo
2,22112014MglFran,2014-15,"Samstag, 22.11.2014",M'gladbach ,Frankfurt ,1,3,1,0,/mgladbach-gegen-frankfurt-2014-bundesliga-2407328/spielinfo
3,22112014MainFrei,2014-15,"Samstag, 22.11.2014",Mainz ,Freiburg ,2,2,1,1,/mainz-gegen-freiburg-2014-bundesliga-2407329/spielinfo
4,22112014HannLeve,2014-15,"Samstag, 22.11.2014",Hannover ,Leverkusen ,1,3,0,0,/hannover-gegen-leverkusen-2014-bundesliga-2407330/spielinfo
5,22112014PadeDort,2014-15,"Samstag, 22.11.2014",Paderborn ,Dortmund ,2,2,0,2,/paderborn-gegen-dortmund-2014-bundesliga-2407334/spielinfo
6,22112014KölnHert,2014-15,"Samstag, 22.11.2014",Köln ,Hertha ,1,2,0,1,/koeln-gegen-hertha-2014-bundesliga-2407333/spielinfo
7,23112014HSV Brem,2014-15,"Sonntag, 23.11.2014",HSV ,Bremen ,2,0,0,0,/hsv-gegen-bremen-2014-bundesliga-2407332/spielinfo
8,23112014StutAugs,2014-15,"Sonntag, 23.11.2014",Stuttgart ,Augsburg ,0,1,0,0,/stuttgart-gegen-augsburg-2014-bundesliga-2407331/spielinfo
