,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,23101970OberBaye,1970-71,"Freitag, 23.10.1970",Oberhausen ,Bayern ,0,4,0,2,/oberhausen-gegen-bayern-1970-bundesliga-18115/spielinfo
1,24101970KölnBiel,1970-71,"Samstag, 24.10.1970",Köln ,Bielefeld ,2,0,0,0,/koeln-gegen-bielefeld-1970-bundesliga-18111/spielinfo
2,24101970DuisMgl,1970-71,"Samstag, 24.10.1970",Duisburg ,M'gladbach ,1,1,0,0,/duisburg-gegen-mgladbach-1970-bundesliga-18112/spielinfo
3,24101970SchaKla,1970-71,"Samstag, 24.10.1970",Schalke ,K'lautern ,2,0,2,0,/schalke-gegen-klautern-1970-bundesliga-18113/spielinfo
4,24101970HertEsse,1970-71,"Samstag, 24.10.1970",Hertha ,Essen ,1,1,0,1,/hertha-gegen-essen-1970-bundesliga-18114/spielinfo
5,24101970OffeDort,1970-71,"Samstag, 24.10.1970",Offenbach ,Dortmund ,3,0,1,0,/offenbach-gegen-dortmund-1970-bundesliga-18116/spielinfo
6,24101970StutFran,1970-71,"Samstag, 24.10.1970",Stuttgart ,Frankfurt ,2,1,0,1,/stuttgart-gegen-frankfurt-1970-bundesliga-18117/spielinfo
7,24101970BremHann,1970-71,"Samstag, 24.10.1970",Bremen ,Hannover ,0,0,0,0,/bremen-gegen-hannover-1970-bundesliga-18118/spielinfo
8,24101970BrauHSV ,1970-71,"Samstag, 24.10.1970",Braunschweig ,HSV ,4,1,1,1,/braunschweig-gegen-hsv-1970-bundesliga-18119/spielinfo
9,27101970DortBrem,1970-71,"Dienstag, 27.10.1970",Dortmund ,Bremen ,0,1,0,1,/dortmund-gegen-bremen-1970-bundesliga-18069/spielinfo
10,28101970DuisKöln,1970-71,"Mittwoch, 28.10.1970",Duisburg ,Köln ,0,0,0,0,/duisburg-gegen-koeln-1970-bundesliga-18030/spielinfo
11,28101970HSV Offe,1970-71,"Mittwoch, 28.10.1970",HSV ,Offenbach ,3,2,2,1,/hsv-gegen-offenbach-1970-bundesliga-18038/spielinfo
