,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,29012005HSV Main,2004-05,"Samstag, 29.01.2005",HSV ,Mainz ,2,1,1,1,/hsv-gegen-mainz-2005-bundesliga-677833/spielinfo
1,29012005LeveBoch,2004-05,"Samstag, 29.01.2005",Leverkusen ,Bochum ,4,0,2,0,/leverkusen-gegen-bochum-2005-bundesliga-677835/spielinfo
2,29012005BielHann,2004-05,"Samstag, 29.01.2005",Bielefeld ,Hannover ,0,1,0,1,/bielefeld-gegen-hannover-2005-bundesliga-677836/spielinfo
3,29012005DortMgl,2004-05,"Samstag, 29.01.2005",Dortmund ,M'gladbach ,1,1,1,0,/dortmund-gegen-mgladbach-2005-bundesliga-677837/spielinfo
4,29012005FreiWolf,2004-05,"Samstag, 29.01.2005",Freiburg ,Wolfsburg ,1,0,0,0,/freiburg-gegen-wolfsburg-2005-bundesliga-677838/spielinfo
5,29012005KlaScha,2004-05,"Samstag, 29.01.2005",K'lautern ,Schalke ,2,0,0,0,/klautern-gegen-schalke-2005-bundesliga-677840/spielinfo
6,29012005StutNürn,2004-05,"Samstag, 29.01.2005",Stuttgart ,Nürnberg ,2,4,0,2,/stuttgart-gegen-nuernberg-2005-bundesliga-677841/spielinfo
7,30012005HertBaye,2004-05,"Sonntag, 30.01.2005",Hertha ,Bayern ,0,0,0,0,/hertha-gegen-bayern-2005-bundesliga-677834/spielinfo
8,30012005BremRost,2004-05,"Sonntag, 30.01.2005",Bremen ,Rostock ,3,2,2,1,/bremen-gegen-rostock-2005-bundesliga-677839/spielinfo
