,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,27022015BayeKöln,2014-15,"Freitag, 27.02.2015",Bayern ,Köln ,4,1,2,1,/bayern-gegen-koeln-2015-bundesliga-2407425/spielinfo
1,28022015DortScha,2014-15,"Samstag, 28.02.2015",Dortmund ,Schalke ,3,0,0,0,/dortmund-gegen-schalke-2015-bundesliga-2407426/spielinfo
2,28022015LeveFrei,2014-15,"Samstag, 28.02.2015",Leverkusen ,Freiburg ,1,0,1,0,/leverkusen-gegen-freiburg-2015-bundesliga-2407427/spielinfo
3,28022015HoffMain,2014-15,"Samstag, 28.02.2015",Hoffenheim ,Mainz ,2,0,0,0,/hoffenheim-gegen-mainz-2015-bundesliga-2407429/spielinfo
4,28022015HannStut,2014-15,"Samstag, 28.02.2015",Hannover ,Stuttgart ,1,1,0,0,/hannover-gegen-stuttgart-2015-bundesliga-2407430/spielinfo
5,28022015HertAugs,2014-15,"Samstag, 28.02.2015",Hertha ,Augsburg ,1,0,0,0,/hertha-gegen-augsburg-2015-bundesliga-2407431/spielinfo
6,28022015FranHSV ,2014-15,"Samstag, 28.02.2015",Frankfurt ,HSV ,2,1,1,1,/frankfurt-gegen-hsv-2015-bundesliga-2407433/spielinfo
7,01032015MglPade,2014-15,"Sonntag, 01.03.2015",M'gladbach ,Paderborn ,2,0,1,0,/mgladbach-gegen-paderborn-2015-bundesliga-2407428/spielinfo
8,01032015BremWolf,2014-15,"Sonntag, 01.03.2015",Bremen ,Wolfsburg ,3,5,3,2,/bremen-gegen-wolfsburg-2015-bundesliga-2407432/spielinfo
