,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,24042009HoffHert,2008-09,"Freitag, 24.04.2009",Hoffenheim ,Hertha ,0,1,0,1,/hoffenheim-gegen-hertha-2009-bundesliga-863671/spielinfo
1,25042009BayeScha,2008-09,"Samstag, 25.04.2009",Bayern ,Schalke ,0,1,0,1,/bayern-gegen-schalke-2009-bundesliga-863667/spielinfo
2,25042009DortHSV ,2008-09,"Samstag, 25.04.2009",Dortmund ,HSV ,2,0,1,0,/dortmund-gegen-hsv-2009-bundesliga-863668/spielinfo
3,25042009StutFran,2008-09,"Samstag, 25.04.2009",Stuttgart ,Frankfurt ,2,0,1,0,/stuttgart-gegen-frankfurt-2009-bundesliga-863670/spielinfo
4,25042009LeveKarl,2008-09,"Samstag, 25.04.2009",Leverkusen ,Karlsruhe ,0,1,0,0,/leverkusen-gegen-karlsruhe-2009-bundesliga-863672/spielinfo
5,25042009BremBoch,2008-09,"Samstag, 25.04.2009",Bremen ,Bochum ,3,2,0,2,/bremen-gegen-bochum-2009-bundesliga-863673/spielinfo
6,25042009HannKöln,2008-09,"Samstag, 25.04.2009",Hannover ,Köln ,2,1,2,0,/hannover-gegen-koeln-2009-bundesliga-863675/spielinfo
7,26042009CottWolf,2008-09,"Sonntag, 26.04.2009",Cottbus ,Wolfsburg ,2,0,0,0,/cottbus-gegen-wolfsburg-2009-bundesliga-863669/spielinfo
8,26042009MglBiel,2008-09,"Sonntag, 26.04.2009",M'gladbach ,Bielefeld ,1,1,1,1,/mgladbach-gegen-bielefeld-2009-bundesliga-863674/spielinfo
