,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,05111999RostHSV ,1999-00,"Freitag, 05.11.1999",Rostock ,HSV ,3,3,2,1,/rostock-gegen-hsv-1999-bundesliga-503136/spielinfo
1,05111999FreiDuis,1999-00,"Freitag, 05.11.1999",Freiburg ,Duisburg ,3,0,2,0,/freiburg-gegen-duisburg-1999-bundesliga-503139/spielinfo
2,06111999Ulm Baye,1999-00,"Samstag, 06.11.1999",Ulm ,Bayern ,0,1,0,1,/ulm-gegen-bayern-1999-bundesliga-503132/spielinfo
3,06111999WolfStut,1999-00,"Samstag, 06.11.1999",Wolfsburg ,Stuttgart ,0,2,0,1,/wolfsburg-gegen-stuttgart-1999-bundesliga-503133/spielinfo
4,06111999DortLeve,1999-00,"Samstag, 06.11.1999",Dortmund ,Leverkusen ,1,1,1,1,/dortmund-gegen-leverkusen-1999-bundesliga-503137/spielinfo
5,061119991860Unte,1999-00,"Samstag, 06.11.1999",1860 München ,Unterhaching ,2,1,1,0,/muenchen-gegen-unterhaching-1999-bundesliga-503138/spielinfo
6,06111999FranHert,1999-00,"Samstag, 06.11.1999",Frankfurt ,Hertha ,4,0,3,0,/frankfurt-gegen-hertha-1999-bundesliga-503140/spielinfo
7,07111999KlaScha,1999-00,"Sonntag, 07.11.1999",K'lautern ,Schalke ,2,1,0,1,/klautern-gegen-schalke-1999-bundesliga-503134/spielinfo
8,07111999BielBrem,1999-00,"Sonntag, 07.11.1999",Bielefeld ,Bremen ,2,2,1,0,/bielefeld-gegen-bremen-1999-bundesliga-503135/spielinfo
