,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,04101996BochDort,1996-97,"Freitag, 04.10.1996",Bochum ,Dortmund ,1,0,0,0,/bochum-gegen-dortmund-1996-bundesliga-10072/spielinfo
1,04101996StutFrei,1996-97,"Freitag, 04.10.1996",Stuttgart ,Freiburg ,4,2,2,1,/stuttgart-gegen-freiburg-1996-bundesliga-10075/spielinfo
2,04101996LeveRost,1996-97,"Freitag, 04.10.1996",Leverkusen ,Rostock ,4,1,1,1,/leverkusen-gegen-rostock-1996-bundesliga-10080/spielinfo
3,05101996St. Düss,1996-97,"Samstag, 05.10.1996",St. Pauli ,Düsseldorf ,3,0,1,0,/st-pauli-gegen-duesseldorf-1996-bundesliga-10073/spielinfo
4,05101996Mgl1860,1996-97,"Samstag, 05.10.1996",M'gladbach ,1860 München ,1,0,0,0,/mgladbach-gegen-muenchen-1996-bundesliga-10074/spielinfo
5,05101996SchaKarl,1996-97,"Samstag, 05.10.1996",Schalke ,Karlsruhe ,0,1,0,1,/schalke-gegen-karlsruhe-1996-bundesliga-10076/spielinfo
6,05101996BielBrem,1996-97,"Samstag, 05.10.1996",Bielefeld ,Bremen ,3,1,1,0,/bielefeld-gegen-bremen-1996-bundesliga-10077/spielinfo
7,05101996BayeHSV ,1996-97,"Samstag, 05.10.1996",Bayern ,HSV ,2,1,1,0,/bayern-gegen-hsv-1996-bundesliga-10078/spielinfo
8,05101996DuisKöln,1996-97,"Samstag, 05.10.1996",Duisburg ,Köln ,3,0,2,0,/duisburg-gegen-koeln-1996-bundesliga-10079/spielinfo
