,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,24082007BochHSV ,2007-08,"Freitag, 24.08.2007",Bochum ,HSV ,2,1,1,0,/bochum-gegen-hsv-2007-bundesliga-807583/spielinfo
1,25082007StutDuis,2007-08,"Samstag, 25.08.2007",Stuttgart ,Duisburg ,1,0,1,0,/stuttgart-gegen-duisburg-2007-bundesliga-807579/spielinfo
2,25082007BayeHann,2007-08,"Samstag, 25.08.2007",Bayern ,Hannover ,3,0,1,0,/bayern-gegen-hannover-2007-bundesliga-807580/spielinfo
3,25082007LeveKarl,2007-08,"Samstag, 25.08.2007",Leverkusen ,Karlsruhe ,3,0,3,0,/leverkusen-gegen-karlsruhe-2007-bundesliga-807581/spielinfo
4,25082007NürnBrem,2007-08,"Samstag, 25.08.2007",Nürnberg ,Bremen ,0,1,0,0,/nuernberg-gegen-bremen-2007-bundesliga-807582/spielinfo
5,25082007DortCott,2007-08,"Samstag, 25.08.2007",Dortmund ,Cottbus ,3,0,1,0,/dortmund-gegen-cottbus-2007-bundesliga-807584/spielinfo
6,25082007BielHert,2007-08,"Samstag, 25.08.2007",Bielefeld ,Hertha ,2,0,0,0,/bielefeld-gegen-hertha-2007-bundesliga-807585/spielinfo
7,26082007FranRost,2007-08,"Sonntag, 26.08.2007",Frankfurt ,Rostock ,1,0,1,0,/frankfurt-gegen-rostock-2007-bundesliga-807586/spielinfo
8,26082007WolfScha,2007-08,"Sonntag, 26.08.2007",Wolfsburg ,Schalke ,1,1,1,0,/wolfsburg-gegen-schalke-2007-bundesliga-807587/spielinfo
