,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,12022010MglNürn,2009-10,"Freitag, 12.02.2010",M'gladbach ,Nürnberg ,2,1,1,0,/mgladbach-gegen-nuernberg-2010-bundesliga-938227/spielinfo
1,13022010LeveWolf,2009-10,"Samstag, 13.02.2010",Leverkusen ,Wolfsburg ,2,1,0,0,/leverkusen-gegen-wolfsburg-2010-bundesliga-938219/spielinfo
2,13022010StutHSV ,2009-10,"Samstag, 13.02.2010",Stuttgart ,HSV ,1,3,0,1,/stuttgart-gegen-hsv-2010-bundesliga-938220/spielinfo
3,13022010BochHoff,2009-10,"Samstag, 13.02.2010",Bochum ,Hoffenheim ,2,1,1,0,/bochum-gegen-hoffenheim-2010-bundesliga-938222/spielinfo
4,13022010HannBrem,2009-10,"Samstag, 13.02.2010",Hannover ,Bremen ,1,5,0,4,/hannover-gegen-bremen-2010-bundesliga-938223/spielinfo
5,13022010HertMain,2009-10,"Samstag, 13.02.2010",Hertha ,Mainz ,1,1,0,1,/hertha-gegen-mainz-2010-bundesliga-938226/spielinfo
6,13022010BayeDort,2009-10,"Samstag, 13.02.2010",Bayern ,Dortmund ,3,1,1,1,/bayern-gegen-dortmund-2010-bundesliga-938221/spielinfo
7,14022010SchaKöln,2009-10,"Sonntag, 14.02.2010",Schalke ,Köln ,2,0,1,0,/schalke-gegen-koeln-2010-bundesliga-938224/spielinfo
8,14022010FranFrei,2009-10,"Sonntag, 14.02.2010",Frankfurt ,Freiburg ,2,1,1,1,/frankfurt-gegen-freiburg-2010-bundesliga-938225/spielinfo
