,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,02121967BrauMgl,1967-68,"Samstag, 02.12.1967",Braunschweig ,M'gladbach ,2,1,1,0,/braunschweig-gegen-mgladbach-1967-bundesliga-19065/spielinfo
1,02121967DuisHann,1967-68,"Samstag, 02.12.1967",Duisburg ,Hannover ,1,2,0,2,/duisburg-gegen-hannover-1967-bundesliga-19066/spielinfo
2,021219671860Fran,1967-68,"Samstag, 02.12.1967",1860 München ,Frankfurt ,5,0,0,0,/muenchen-gegen-frankfurt-1967-bundesliga-19067/spielinfo
3,02121967NürnBaye,1967-68,"Samstag, 02.12.1967",Nürnberg ,Bayern ,7,3,3,0,/nuernberg-gegen-bayern-1967-bundesliga-19068/spielinfo
4,02121967SchaHSV ,1967-68,"Samstag, 02.12.1967",Schalke ,HSV ,3,0,3,0,/schalke-gegen-hsv-1967-bundesliga-19069/spielinfo
5,02121967KlaDort,1967-68,"Samstag, 02.12.1967",K'lautern ,Dortmund ,2,2,2,1,/klautern-gegen-dortmund-1967-bundesliga-19070/spielinfo
6,02121967BremKarl,1967-68,"Samstag, 02.12.1967",Bremen ,Karlsruhe ,6,1,4,0,/bremen-gegen-karlsruhe-1967-bundesliga-19072/spielinfo
7,02121967AachKöln,1967-68,"Samstag, 02.12.1967",Aachen ,Köln ,4,2,2,2,/aachen-gegen-koeln-1967-bundesliga-19073/spielinfo
8,02121967StutNeun,1967-68,"Samstag, 02.12.1967",Stuttgart ,Neunkirchen ,0,0,abgbr.,abgbr.,/stuttgart-gegen-neunkirchen-1967-bundesliga-930359/spielinfo
9,16121967StutNeun,1967-68,"Samstag, 16.12.1967",Stuttgart ,Neunkirchen ,2,1,1,1,/stuttgart-gegen-neunkirchen-1967-bundesliga-19071/spielinfo
