,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,26031977DuisDüss,1976-77,"Samstag, 26.03.1977",Duisburg ,Düsseldorf ,1,0,1,0,/duisburg-gegen-duesseldorf-1977-bundesliga-16415/spielinfo
1,26031977BochEsse,1976-77,"Samstag, 26.03.1977",Bochum ,Essen ,2,1,0,0,/bochum-gegen-essen-1977-bundesliga-16416/spielinfo
2,26031977DortKla,1976-77,"Samstag, 26.03.1977",Dortmund ,K'lautern ,5,2,0,1,/dortmund-gegen-klautern-1977-bundesliga-16417/spielinfo
3,26031977BayeBrem,1976-77,"Samstag, 26.03.1977",Bayern ,Bremen ,1,0,0,0,/bayern-gegen-bremen-1977-bundesliga-16418/spielinfo
4,26031977HSV Scha,1976-77,"Samstag, 26.03.1977",HSV ,Schalke ,2,2,0,0,/hsv-gegen-schalke-1977-bundesliga-16419/spielinfo
5,26031977SaarKöln,1976-77,"Samstag, 26.03.1977",Saarbrücken ,Köln ,3,1,1,1,/saarbruecken-gegen-koeln-1977-bundesliga-16420/spielinfo
6,26031977KarlTeBe,1976-77,"Samstag, 26.03.1977",Karlsruhe ,TeBe Berlin ,4,1,3,0,/karlsruhe-gegen-tebe-berlin-1977-bundesliga-16421/spielinfo
7,26031977MglBrau,1976-77,"Samstag, 26.03.1977",M'gladbach ,Braunschweig ,1,1,1,0,/mgladbach-gegen-braunschweig-1977-bundesliga-16422/spielinfo
8,26031977HertFran,1976-77,"Samstag, 26.03.1977",Hertha ,Frankfurt ,2,3,2,0,/hertha-gegen-frankfurt-1977-bundesliga-16423/spielinfo
9,30031977MglDort,1976-77,"Mittwoch, 30.03.1977",M'gladbach ,Dortmund ,1,1,0,0,/mgladbach-gegen-dortmund-1977-bundesliga-16365/spielinfo
