,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,20101965NeunMeid,1965-66,"Mittwoch, 20.10.1965",Neunkirchen ,Meidericher SV ,0,1,0,0,/neunkirchen-gegen-duisburg-1965-bundesliga-19616/spielinfo
1,20101965TasmStut,1965-66,"Mittwoch, 20.10.1965",Tasmania ,Stuttgart ,0,2,0,1,/tasmania-gegen-stuttgart-1965-bundesliga-19617/spielinfo
2,20101965MglHann,1965-66,"Mittwoch, 20.10.1965",M'gladbach ,Hannover ,2,0,0,0,/mgladbach-gegen-hannover-1965-bundesliga-19619/spielinfo
3,20101965BrauKöln,1965-66,"Mittwoch, 20.10.1965",Braunschweig ,Köln ,1,2,1,1,/braunschweig-gegen-koeln-1965-bundesliga-19615/spielinfo
4,20101965KarlKla,1965-66,"Mittwoch, 20.10.1965",Karlsruhe ,K'lautern ,1,0,0,0,/karlsruhe-gegen-klautern-1965-bundesliga-19618/spielinfo
5,20101965DortNürn,1965-66,"Mittwoch, 20.10.1965",Dortmund ,Nürnberg ,2,0,1,0,/dortmund-gegen-nuernberg-1965-bundesliga-19620/spielinfo
6,20101965FranBrem,1965-66,"Mittwoch, 20.10.1965",Frankfurt ,Bremen ,1,0,1,0,/frankfurt-gegen-bremen-1965-bundesliga-19614/spielinfo
7,20101965HSV Baye,1965-66,"Mittwoch, 20.10.1965",HSV ,Bayern ,0,4,0,2,/hsv-gegen-bayern-1965-bundesliga-19621/spielinfo
8,201019651860Scha,1965-66,"Mittwoch, 20.10.1965",1860 München ,Schalke ,3,0,1,0,/muenchen-gegen-schalke-1965-bundesliga-19622/spielinfo
