,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,30012007MglNürn,2006-07,"Dienstag, 30.01.2007",M'gladbach ,Nürnberg ,0,0,0,0,/mgladbach-gegen-nuernberg-2007-bundesliga-763480/spielinfo
1,30012007StutBiel,2006-07,"Dienstag, 30.01.2007",Stuttgart ,Bielefeld ,3,2,1,1,/stuttgart-gegen-bielefeld-2007-bundesliga-763481/spielinfo
2,30012007WolfFran,2006-07,"Dienstag, 30.01.2007",Wolfsburg ,Frankfurt ,2,2,1,0,/wolfsburg-gegen-frankfurt-2007-bundesliga-763482/spielinfo
3,30012007BayeBoch,2006-07,"Dienstag, 30.01.2007",Bayern ,Bochum ,0,0,0,0,/bayern-gegen-bochum-2007-bundesliga-763483/spielinfo
4,31012007LeveBrem,2006-07,"Mittwoch, 31.01.2007",Leverkusen ,Bremen ,0,2,0,1,/leverkusen-gegen-bremen-2007-bundesliga-763477/spielinfo
5,31012007HannHert,2006-07,"Mittwoch, 31.01.2007",Hannover ,Hertha ,5,0,3,0,/hannover-gegen-hertha-2007-bundesliga-763478/spielinfo
6,31012007MainDort,2006-07,"Mittwoch, 31.01.2007",Mainz ,Dortmund ,1,0,0,0,/mainz-gegen-dortmund-2007-bundesliga-763479/spielinfo
7,31012007SchaAach,2006-07,"Mittwoch, 31.01.2007",Schalke ,Aachen ,2,1,1,1,/schalke-gegen-aachen-2007-bundesliga-763484/spielinfo
8,31012007HSV Cott,2006-07,"Mittwoch, 31.01.2007",HSV ,Cottbus ,1,1,1,1,/hsv-gegen-cottbus-2007-bundesliga-763485/spielinfo
