,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,27031987BremBlau,1986-87,"Freitag, 27.03.1987",Bremen ,Blau-Weiß 90 Berlin ,2,0,0,0,/bremen-gegen-bw--berlin-1987-bundesliga-13331/spielinfo
1,28031987DüssFC H,1986-87,"Samstag, 28.03.1987",Düsseldorf ,FC Homburg ,1,0,0,0,/duesseldorf-gegen-fc-homburg-1987-bundesliga-13323/spielinfo
2,28031987KölnMann,1986-87,"Samstag, 28.03.1987",Köln ,Mannheim ,2,1,1,0,/koeln-gegen-mannheim-1987-bundesliga-13324/spielinfo
3,28031987NürnLeve,1986-87,"Samstag, 28.03.1987",Nürnberg ,Leverkusen ,1,1,1,1,/nuernberg-gegen-leverkusen-1987-bundesliga-13325/spielinfo
4,28031987HSV Baye,1986-87,"Samstag, 28.03.1987",HSV ,Bayern ,1,2,0,1,/hsv-gegen-bayern-1987-bundesliga-13326/spielinfo
5,28031987KlaFran,1986-87,"Samstag, 28.03.1987",K'lautern ,Frankfurt ,2,1,1,1,/klautern-gegen-frankfurt-1987-bundesliga-13327/spielinfo
6,28031987MglBoch,1986-87,"Samstag, 28.03.1987",M'gladbach ,Bochum ,2,1,2,1,/mgladbach-gegen-bochum-1987-bundesliga-13328/spielinfo
7,28031987SchaStut,1986-87,"Samstag, 28.03.1987",Schalke ,Stuttgart ,2,1,1,0,/schalke-gegen-stuttgart-1987-bundesliga-13329/spielinfo
8,28031987DortUerd,1986-87,"Samstag, 28.03.1987",Dortmund ,Uerdingen ,1,1,0,0,/dortmund-gegen-uerdingen-1987-bundesliga-13330/spielinfo
9,01041987UerdFC H,1986-87,"Mittwoch, 01.04.1987",Uerdingen ,FC Homburg ,2,1,1,1,/uerdingen-gegen-fc-homburg-1987-bundesliga-13287/spielinfo
