8,30111963DortKöln,"Sa30.11.1963, 20:00",Dortmund,Köln,Rote Erde,42000,Dortmun,"Ott, Alfred",Rheinbrohl
0,07121963MeidStut,"Sa07.12.1963, 14:15",Meidericher SV,Stuttgart,Wedaustadion,35000,Duisburg,"Schulenburg, Gerhard",Laatzen
1,07121963MünsBrem,"Sa07.12.1963, 14:15",Münster,Bremen,Preußenstadion,12000,Münster,"Kreitlein, Rudolf",Stuttgart
2,07121963KarlScha,"Sa07.12.1963, 15:00",Karlsruhe,Schalke,Wildparkstadion,40000,Karlsruhe,"Fritz, Oswald",Ludwigshafen
3,071219631860Hert,"Sa07.12.1963, 17:00",1860 München,Hertha,Stadion an der Grünwalder Straße,25000,Münch,"Niemeyer, Karl",Bad Godesberg
4,07121963SaarFran,"Sa07.12.1963, 18:30",Saarbrücken,Frankfurt,Ludwigsparkstadion,20000,Saarbrücken,"Schmidt, Berthold",Hermesdorf
5,07121963BrauNürn,"Sa07.12.1963, 19:00",Braunschweig,Nürnberg,Eintracht-Stadion,19000,Braunschweig,"Hoffmann, Josef",Krefeld
6,07121963KölnKla,"Sa07.12.1963, 19:00",Köln,K'lautern,Müngersdorfer Stadion,23000,Köl,"Treichel, Werner",Berlin
7,21121963HSVDort,"Sa21.12.1963, 14:00",HSV,Dortmund,Volksparkstadion,35000,Hamburg,"Fritz, Helmut",Ludwigshafen
8,14121963KlaMeid,"Sa14.12.1963, 14:15",K'lautern,Meidericher SV,Betzenberg,15000,Kaiserslautern,"Betz, Alfons",Regensburg
0,14121963NürnHSV,"Sa14.12.1963, 14:15",Nürnberg,HSV,Städtisches Stadion,37000,Nürnberg,"Schörnich, Fritz",Düsseldorf
1,14121963FranKarl,"Sa14.12.1963, 14:15",Frankfurt,Karlsruhe,Waldstadion,10500,Frankfurt,"Fischer, Heinz",Augsburg
2,14121963Brem1860,"Sa14.12.1963, 14:15",Bremen,1860 München,Weser-Stadion,13000,Bremen,"Baumgärtel, Günther",Hagen
3,14121963StutKöln,"Sa14.12.1963, 16:45",Stuttgart,Köln,Neckarstadion,75000,Stuttgart,"Mathieu, Horst",Saarbrücken
4,14121963HertMüns,"Sa14.12.1963, 17:00",Hertha,Münster,Olympiastadion,17215,Berlin,"Zimmermann, Walter",Wolfsburg
5,14121963DortBrau,"Sa14.12.1963, 20:00",Dortmund,Braunschweig,Rote Erde,15000,Dortmun,"Jacobi, Rudibert",Heidelberg
6,21121963HSVDort,"Sa21.12.1963, 14:00",HSV,Dortmund,Volksparkstadion,35000,Hamburg,"Fritz, Helmut",Ludwigshafen
7,11011964HSVMüns,"Sa11.01.1964, 14:30",HSV,Münster,Volksparkstadion,19000,Hamburg,"Regely, Ewald",Berlin
8,11011964KölnSaar,"Sa11.01.1964, 14:30",Köln,Saarbrücken,Müngersdorfer Stadion,13634,Köl,"Handwerker, Kurt",Ketsch
0,11011964MeidKarl,"Sa11.01.1964, 14:30",Meidericher SV,Karlsruhe,Wedaustadion,18000,Duisburg,"Spiewak, Werner",Hamburg
1,11011964KlaFran,"Sa11.01.1964, 14:30",K'lautern,Frankfurt,Betzenberg,17000,Kaiserslautern,"Weyland, Hans-Joachim",Oberhausen
2,11011964NürnHert,"Sa11.01.1964, 14:30",Nürnberg,Hertha,Städtisches Stadion,15000,Nürnberg,"Leidag, Fritz",Dortmund
3,11011964DortBrem,"Sa11.01.1964, 14:30",Dortmund,Bremen,Rote Erde,15000,Dortmun,"Riegg, Karl",Augsburg
4,11011964Brau1860,"Sa11.01.1964, 17:00",Braunschweig,1860 München,Eintracht-Stadion,18000,Braunschweig,"Malka, Johannes",Herten
5,08021964StutScha,"Sa08.02.1964, 15:30",Stuttgart,Schalke,Neckarstadion,30000,Stuttgart,"Deuschel, Edgar",Ludwigshafen
6,18011964MünsBrau,"Sa18.01.1964, 14:30",Münster,Braunschweig,Preußenstadion,15000,Münster,"Tschenscher, Kurt",Mannheim
7,18011964KarlKöln,"Sa18.01.1964, 14:30",Karlsruhe,Köln,Wildparkstadion,40000,Karlsruhe,"Fritz, Helmut",Ludwigshafen
8,18011964HertStut,"Sa18.01.1964, 14:30",Hertha,Stuttgart,Olympiastadion,30000,Berlin,"Malka, Johannes",Herten
0,180119641860Dort,"Sa18.01.1964, 14:30",1860 München,Dortmund,Stadion an der Grünwalder Straße,35000,Münch,"Gusenburger, Willi",Saarbrücken
1,18011964BremNürn,"Sa18.01.1964, 17:00",Bremen,Nürnberg,Weser-Stadion,14000,Bremen,"Treichel, Werner",Berlin
2,08021964SaarHSV,"Sa08.02.1964, 15:30",Saarbrücken,HSV,Ludwigsparkstadion,18000,Saarbrücken,"Sparing, Günter",Kassel
3,08021964FranMeid,"Sa08.02.1964, 15:30",Frankfurt,Meidericher SV,Waldstadion,12500,Frankfurt,"Schulenburg, Gerhard",Laatzen
4,25011964Köln1860,"Sa25.01.1964, 14:30",Köln,1860 München,Müngersdorfer Stadion,27000,Köl,"Zimmermann, Walter",Wolfsburg
5,25011964MeidMüns,"Sa25.01.1964, 14:30",Meidericher SV,Münster,Wedaustadion,15000,Duisburg,"Kreitlein, Rudolf",Stuttgart
6,25011964HSVKarl,"Sa25.01.1964, 14:30",HSV,Karlsruhe,Volksparkstadion,20000,Hamburg,"Niemeyer, Karl",Bad Godesberg
7,25011964NürnFran,"Sa25.01.1964, 14:30",Nürnberg,Frankfurt,Städtisches Stadion,20000,Nürnberg,"Jacobi, Rudibert",Heidelberg
8,25011964DortScha,"Sa25.01.1964, 14:30",Dortmund,Schalke,Rote Erde,38000,Dortmun,"Ott, Alfred",Rheinbrohl
