,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,13081991DuisWatt,1991-92,"Dienstag, 13.08.1991",Duisburg ,Wattenscheid ,0,0,0,0,/duisburg-gegen-wattenscheid-1991-bundesliga-11824/spielinfo
1,13081991BochHSV ,1991-92,"Dienstag, 13.08.1991",Bochum ,HSV ,2,3,2,0,/bochum-gegen-hsv-1991-bundesliga-11825/spielinfo
2,13081991DresFran,1991-92,"Dienstag, 13.08.1991",Dresden ,Frankfurt ,2,1,1,1,/dresden-gegen-frankfurt-1991-bundesliga-11826/spielinfo
3,13081991KarlMgl,1991-92,"Dienstag, 13.08.1991",Karlsruhe ,M'gladbach ,2,0,2,0,/karlsruhe-gegen-mgladbach-1991-bundesliga-11827/spielinfo
4,14081991SchaNürn,1991-92,"Mittwoch, 14.08.1991",Schalke ,Nürnberg ,1,0,1,0,/schalke-gegen-nuernberg-1991-bundesliga-11828/spielinfo
5,14081991DüssBaye,1991-92,"Mittwoch, 14.08.1991",Düsseldorf ,Bayern ,0,1,0,0,/duesseldorf-gegen-bayern-1991-bundesliga-11829/spielinfo
6,14081991RostDort,1991-92,"Mittwoch, 14.08.1991",Rostock ,Dortmund ,5,1,2,0,/rostock-gegen-dortmund-1991-bundesliga-11830/spielinfo
7,14081991BremStut,1991-92,"Mittwoch, 14.08.1991",Bremen ,Stuttgart ,1,1,0,0,/bremen-gegen-stuttgart-1991-bundesliga-11831/spielinfo
8,14081991KölnKla,1991-92,"Mittwoch, 14.08.1991",Köln ,K'lautern ,1,1,0,0,/koeln-gegen-klautern-1991-bundesliga-11832/spielinfo
9,14081991Stg.Leve,1991-92,"Mittwoch, 14.08.1991",Stg. Kickers ,Leverkusen ,0,1,0,0,/stg-kickers-gegen-leverkusen-1991-bundesliga-11833/spielinfo
