,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,22112013StutMgl,2013-14,"Freitag, 22.11.2013",Stuttgart ,M'gladbach ,0,2,0,1,/stuttgart-gegen-mgladbach-2013-bundesliga-1894983/spielinfo
1,23112013NürnWolf,2013-14,"Samstag, 23.11.2013",Nürnberg ,Wolfsburg ,1,1,0,1,/nuernberg-gegen-wolfsburg-2013-bundesliga-1894985/spielinfo
2,23112013AugsHoff,2013-14,"Samstag, 23.11.2013",Augsburg ,Hoffenheim ,2,0,2,0,/augsburg-gegen-hoffenheim-2013-bundesliga-1894986/spielinfo
3,23112013BrauFrei,2013-14,"Samstag, 23.11.2013",Braunschweig ,Freiburg ,0,1,0,0,/braunschweig-gegen-freiburg-2013-bundesliga-1894988/spielinfo
4,23112013FranScha,2013-14,"Samstag, 23.11.2013",Frankfurt ,Schalke ,3,3,0,2,/frankfurt-gegen-schalke-2013-bundesliga-1894989/spielinfo
5,23112013HertLeve,2013-14,"Samstag, 23.11.2013",Hertha ,Leverkusen ,0,1,0,1,/hertha-gegen-leverkusen-2013-bundesliga-1894990/spielinfo
6,23112013DortBaye,2013-14,"Samstag, 23.11.2013",Dortmund ,Bayern ,0,3,0,0,/dortmund-gegen-bayern-2013-bundesliga-1894982/spielinfo
7,24112013HSV Hann,2013-14,"Sonntag, 24.11.2013",HSV ,Hannover ,3,1,1,1,/hsv-gegen-hannover-2013-bundesliga-1894987/spielinfo
8,24112013BremMain,2013-14,"Sonntag, 24.11.2013",Bremen ,Mainz ,2,3,0,2,/bremen-gegen-mainz-2013-bundesliga-1894984/spielinfo
