,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,16051980HSV Brau,1979-80,"Freitag, 16.05.1980",HSV ,Braunschweig ,2,0,0,0,/hsv-gegen-braunschweig-1980-bundesliga-15544/spielinfo
1,16051980HertDort,1979-80,"Freitag, 16.05.1980",Hertha ,Dortmund ,3,2,2,0,/hertha-gegen-dortmund-1980-bundesliga-15547/spielinfo
2,16051980KlaUerd,1979-80,"Freitag, 16.05.1980",K'lautern ,Uerdingen ,4,0,2,0,/klautern-gegen-uerdingen-1980-bundesliga-15549/spielinfo
3,17051980FranBrem,1979-80,"Samstag, 17.05.1980",Frankfurt ,Bremen ,3,2,0,1,/frankfurt-gegen-bremen-1980-bundesliga-15542/spielinfo
4,17051980BochKöln,1979-80,"Samstag, 17.05.1980",Bochum ,Köln ,2,0,0,0,/bochum-gegen-koeln-1980-bundesliga-15543/spielinfo
5,17051980MglStut,1979-80,"Samstag, 17.05.1980",M'gladbach ,Stuttgart ,1,1,1,1,/mgladbach-gegen-stuttgart-1980-bundesliga-15545/spielinfo
6,17051980BayeDüss,1979-80,"Samstag, 17.05.1980",Bayern ,Düsseldorf ,6,0,2,0,/bayern-gegen-duesseldorf-1980-bundesliga-15546/spielinfo
7,17051980Duis1860,1979-80,"Samstag, 17.05.1980",Duisburg ,1860 München ,1,0,1,0,/duisburg-gegen-muenchen-1980-bundesliga-15548/spielinfo
8,17051980LeveScha,1979-80,"Samstag, 17.05.1980",Leverkusen ,Schalke ,2,0,2,0,/leverkusen-gegen-schalke-1980-bundesliga-15550/spielinfo
