,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,17112006BochFran,2006-07,"Freitag, 17.11.2006",Bochum ,Frankfurt ,4,3,3,2,/bochum-gegen-frankfurt-2006-bundesliga-763429/spielinfo
1,18112006BayeStut,2006-07,"Samstag, 18.11.2006",Bayern ,Stuttgart ,2,1,2,1,/bayern-gegen-stuttgart-2006-bundesliga-763423/spielinfo
2,18112006DortHert,2006-07,"Samstag, 18.11.2006",Dortmund ,Hertha ,1,2,1,2,/dortmund-gegen-hertha-2006-bundesliga-763424/spielinfo
3,18112006NürnLeve,2006-07,"Samstag, 18.11.2006",Nürnberg ,Leverkusen ,3,2,1,1,/nuernberg-gegen-leverkusen-2006-bundesliga-763425/spielinfo
4,18112006MainHSV ,2006-07,"Samstag, 18.11.2006",Mainz ,HSV ,0,0,0,0,/mainz-gegen-hsv-2006-bundesliga-763427/spielinfo
5,18112006AachBrem,2006-07,"Samstag, 18.11.2006",Aachen ,Bremen ,2,2,1,0,/aachen-gegen-bremen-2006-bundesliga-763430/spielinfo
6,18112006CottScha,2006-07,"Samstag, 18.11.2006",Cottbus ,Schalke ,2,4,2,2,/cottbus-gegen-schalke-2006-bundesliga-763431/spielinfo
7,19112006MglHann,2006-07,"Sonntag, 19.11.2006",M'gladbach ,Hannover ,0,1,0,0,/mgladbach-gegen-hannover-2006-bundesliga-763426/spielinfo
8,19112006BielWolf,2006-07,"Sonntag, 19.11.2006",Bielefeld ,Wolfsburg ,0,0,0,0,/bielefeld-gegen-wolfsburg-2006-bundesliga-763428/spielinfo
