,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,03112006HannBoch,2006-07,"Freitag, 03.11.2006",Hannover ,Bochum ,0,2,0,1,/hannover-gegen-bochum-2006-bundesliga-763401/spielinfo
1,04112006BremCott,2006-07,"Samstag, 04.11.2006",Bremen ,Cottbus ,1,1,0,0,/bremen-gegen-cottbus-2006-bundesliga-763396/spielinfo
2,04112006LeveMain,2006-07,"Samstag, 04.11.2006",Leverkusen ,Mainz ,1,1,1,1,/leverkusen-gegen-mainz-2006-bundesliga-763398/spielinfo
3,04112006HertNürn,2006-07,"Samstag, 04.11.2006",Hertha ,Nürnberg ,2,1,1,0,/hertha-gegen-nuernberg-2006-bundesliga-763399/spielinfo
4,04112006DortBiel,2006-07,"Samstag, 04.11.2006",Dortmund ,Bielefeld ,1,1,0,0,/dortmund-gegen-bielefeld-2006-bundesliga-763400/spielinfo
5,04112006WolfHSV ,2006-07,"Samstag, 04.11.2006",Wolfsburg ,HSV ,1,0,1,0,/wolfsburg-gegen-hsv-2006-bundesliga-763403/spielinfo
6,04112006AachStut,2006-07,"Samstag, 04.11.2006",Aachen ,Stuttgart ,2,4,1,2,/aachen-gegen-stuttgart-2006-bundesliga-763404/spielinfo
7,05112006SchaBaye,2006-07,"Sonntag, 05.11.2006",Schalke ,Bayern ,2,2,2,1,/schalke-gegen-bayern-2006-bundesliga-763397/spielinfo
8,05112006FranMgl,2006-07,"Sonntag, 05.11.2006",Frankfurt ,M'gladbach ,1,0,0,0,/frankfurt-gegen-mgladbach-2006-bundesliga-763402/spielinfo
