,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,23092011StutHSV ,2011-12,"Freitag, 23.09.2011",Stuttgart ,HSV ,1,2,1,0,/stuttgart-gegen-hsv-2011-bundesliga-1143345/spielinfo
1,24092011SchaFrei,2011-12,"Samstag, 24.09.2011",Schalke ,Freiburg ,4,2,1,1,/schalke-gegen-freiburg-2011-bundesliga-1143342/spielinfo
2,24092011MainDort,2011-12,"Samstag, 24.09.2011",Mainz ,Dortmund ,1,2,1,0,/mainz-gegen-dortmund-2011-bundesliga-1143344/spielinfo
3,24092011WolfKla,2011-12,"Samstag, 24.09.2011",Wolfsburg ,K'lautern ,1,0,0,0,/wolfsburg-gegen-klautern-2011-bundesliga-1143347/spielinfo
4,24092011MglNürn,2011-12,"Samstag, 24.09.2011",M'gladbach ,Nürnberg ,1,0,0,0,/mgladbach-gegen-nuernberg-2011-bundesliga-1143348/spielinfo
5,24092011AugsHann,2011-12,"Samstag, 24.09.2011",Augsburg ,Hannover ,0,0,0,0,/augsburg-gegen-hannover-2011-bundesliga-1143349/spielinfo
6,24092011BayeLeve,2011-12,"Samstag, 24.09.2011",Bayern ,Leverkusen ,3,0,2,0,/bayern-gegen-leverkusen-2011-bundesliga-1143341/spielinfo
7,25092011KölnHoff,2011-12,"Sonntag, 25.09.2011",Köln ,Hoffenheim ,2,0,1,0,/koeln-gegen-hoffenheim-2011-bundesliga-1143346/spielinfo
8,25092011BremHert,2011-12,"Sonntag, 25.09.2011",Bremen ,Hertha ,2,1,1,1,/bremen-gegen-hertha-2011-bundesliga-1143343/spielinfo
