,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,27112012DortDüss,2012-13,"Dienstag, 27.11.2012",Dortmund ,Düsseldorf ,1,1,1,0,/dortmund-gegen-duesseldorf-2012-bundesliga-1441760/spielinfo
1,27112012HannFürt,2012-13,"Dienstag, 27.11.2012",Hannover ,Fürth ,2,0,1,0,/hannover-gegen-fuerth-2012-bundesliga-1441763/spielinfo
2,27112012HSV Scha,2012-13,"Dienstag, 27.11.2012",HSV ,Schalke ,3,1,0,0,/hsv-gegen-schalke-2012-bundesliga-1441767/spielinfo
3,27112012FranMain,2012-13,"Dienstag, 27.11.2012",Frankfurt ,Mainz ,1,3,0,2,/frankfurt-gegen-mainz-2012-bundesliga-1441768/spielinfo
4,28112012MglWolf,2012-13,"Mittwoch, 28.11.2012",M'gladbach ,Wolfsburg ,2,0,2,0,/mgladbach-gegen-wolfsburg-2012-bundesliga-1441761/spielinfo
5,28112012StutAugs,2012-13,"Mittwoch, 28.11.2012",Stuttgart ,Augsburg ,2,1,1,1,/stuttgart-gegen-augsburg-2012-bundesliga-1441762/spielinfo
6,28112012BremLeve,2012-13,"Mittwoch, 28.11.2012",Bremen ,Leverkusen ,1,4,0,1,/bremen-gegen-leverkusen-2012-bundesliga-1441764/spielinfo
7,28112012FreiBaye,2012-13,"Mittwoch, 28.11.2012",Freiburg ,Bayern ,0,2,0,1,/freiburg-gegen-bayern-2012-bundesliga-1441766/spielinfo
8,28112012NürnHoff,2012-13,"Mittwoch, 28.11.2012",Nürnberg ,Hoffenheim ,4,2,2,1,/nuernberg-gegen-hoffenheim-2012-bundesliga-1441765/spielinfo
