,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,20081991MglBrem,1991-92,"Dienstag, 20.08.1991",M'gladbach ,Bremen ,0,2,0,0,/mgladbach-gegen-bremen-1991-bundesliga-11834/spielinfo
1,20081991DortDüss,1991-92,"Dienstag, 20.08.1991",Dortmund ,Düsseldorf ,3,1,2,0,/dortmund-gegen-duesseldorf-1991-bundesliga-11835/spielinfo
2,20081991BayeScha,1991-92,"Dienstag, 20.08.1991",Bayern ,Schalke ,3,2,2,0,/bayern-gegen-schalke-1991-bundesliga-11836/spielinfo
3,20081991NürnDres,1991-92,"Dienstag, 20.08.1991",Nürnberg ,Dresden ,1,1,0,0,/nuernberg-gegen-dresden-1991-bundesliga-11837/spielinfo
4,21081991WattKarl,1991-92,"Mittwoch, 21.08.1991",Wattenscheid ,Karlsruhe ,1,1,0,1,/wattenscheid-gegen-karlsruhe-1991-bundesliga-11838/spielinfo
5,21081991FranBoch,1991-92,"Mittwoch, 21.08.1991",Frankfurt ,Bochum ,2,1,0,1,/frankfurt-gegen-bochum-1991-bundesliga-11839/spielinfo
6,21081991HSV Köln,1991-92,"Mittwoch, 21.08.1991",HSV ,Köln ,1,1,1,0,/hsv-gegen-koeln-1991-bundesliga-11840/spielinfo
7,21081991KlaStg.,1991-92,"Mittwoch, 21.08.1991",K'lautern ,Stg. Kickers ,4,3,2,1,/klautern-gegen-stg-kickers-1991-bundesliga-11841/spielinfo
8,21081991LeveDuis,1991-92,"Mittwoch, 21.08.1991",Leverkusen ,Duisburg ,2,1,1,0,/leverkusen-gegen-duisburg-1991-bundesliga-11842/spielinfo
9,21081991StutRost,1991-92,"Mittwoch, 21.08.1991",Stuttgart ,Rostock ,3,0,1,0,/stuttgart-gegen-rostock-1991-bundesliga-11843/spielinfo
