,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,04091982KölnScha,1982-83,"Samstag, 04.09.1982",Köln ,Schalke ,2,1,2,1,/koeln-gegen-schalke-1982-bundesliga-14380/spielinfo
1,04091982StutBrem,1982-83,"Samstag, 04.09.1982",Stuttgart ,Bremen ,4,1,2,0,/stuttgart-gegen-bremen-1982-bundesliga-14381/spielinfo
2,04091982MglDüss,1982-83,"Samstag, 04.09.1982",M'gladbach ,Düsseldorf ,5,0,2,0,/mgladbach-gegen-duesseldorf-1982-bundesliga-14382/spielinfo
3,04091982HSV Karl,1982-83,"Samstag, 04.09.1982",HSV ,Karlsruhe ,4,0,3,0,/hsv-gegen-karlsruhe-1982-bundesliga-14383/spielinfo
4,04091982BayeLeve,1982-83,"Samstag, 04.09.1982",Bayern ,Leverkusen ,5,0,3,0,/bayern-gegen-leverkusen-1982-bundesliga-14384/spielinfo
5,04091982BochBiel,1982-83,"Samstag, 04.09.1982",Bochum ,Bielefeld ,1,1,1,0,/bochum-gegen-bielefeld-1982-bundesliga-14385/spielinfo
6,04091982FranBrau,1982-83,"Samstag, 04.09.1982",Frankfurt ,Braunschweig ,0,1,0,0,/frankfurt-gegen-braunschweig-1982-bundesliga-14386/spielinfo
7,04091982KlaDort,1982-83,"Samstag, 04.09.1982",K'lautern ,Dortmund ,0,2,0,1,/klautern-gegen-dortmund-1982-bundesliga-14387/spielinfo
8,04091982HertNürn,1982-83,"Samstag, 04.09.1982",Hertha ,Nürnberg ,5,1,2,1,/hertha-gegen-nuernberg-1982-bundesliga-14388/spielinfo
9,07091982KölnKla,1982-83,"Dienstag, 07.09.1982",Köln ,K'lautern ,3,0,2,0,/koeln-gegen-klautern-1982-bundesliga-14370/spielinfo
10,07091982DüssHSV ,1982-83,"Dienstag, 07.09.1982",Düsseldorf ,HSV ,0,6,0,3,/duesseldorf-gegen-hsv-1982-bundesliga-14379/spielinfo
