,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,03041985MannStut,1984-85,"Mittwoch, 03.04.1985",Mannheim ,Stuttgart ,1,1,0,1,/mannheim-gegen-stuttgart-1985-bundesliga-13971/spielinfo
1,03041985HSV Brem,1984-85,"Mittwoch, 03.04.1985",HSV ,Bremen ,2,0,1,0,/hsv-gegen-bremen-1985-bundesliga-13967/spielinfo
2,03041985MglBiel,1984-85,"Mittwoch, 03.04.1985",M'gladbach ,Bielefeld ,2,0,1,0,/mgladbach-gegen-bielefeld-1985-bundesliga-13968/spielinfo
3,03041985BochBrau,1984-85,"Mittwoch, 03.04.1985",Bochum ,Braunschweig ,1,0,1,0,/bochum-gegen-braunschweig-1985-bundesliga-13969/spielinfo
4,03041985LeveKla,1984-85,"Mittwoch, 03.04.1985",Leverkusen ,K'lautern ,3,0,2,0,/leverkusen-gegen-klautern-1985-bundesliga-13970/spielinfo
5,03041985DüssKöln,1984-85,"Mittwoch, 03.04.1985",Düsseldorf ,Köln ,1,2,1,1,/duesseldorf-gegen-koeln-1985-bundesliga-13972/spielinfo
6,03041985FranBaye,1984-85,"Mittwoch, 03.04.1985",Frankfurt ,Bayern ,2,2,0,0,/frankfurt-gegen-bayern-1985-bundesliga-13973/spielinfo
7,03041985SchaUerd,1984-85,"Mittwoch, 03.04.1985",Schalke ,Uerdingen ,2,0,0,0,/schalke-gegen-uerdingen-1985-bundesliga-13974/spielinfo
8,03041985KarlDort,1984-85,"Mittwoch, 03.04.1985",Karlsruhe ,Dortmund ,2,4,2,3,/karlsruhe-gegen-dortmund-1985-bundesliga-13975/spielinfo
9,09041985DortUerd,1984-85,"Dienstag, 09.04.1985",Dortmund ,Uerdingen ,4,0,1,0,/dortmund-gegen-uerdingen-1985-bundesliga-13910/spielinfo
10,09041985HSV Boch,1984-85,"Dienstag, 09.04.1985",HSV ,Bochum ,3,1,2,0,/hsv-gegen-bochum-1985-bundesliga-13921/spielinfo
