,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,19031999LeveScha,1998-99,"Freitag, 19.03.1999",Leverkusen ,Schalke ,1,1,1,0,/leverkusen-gegen-schalke-1999-bundesliga-102750/spielinfo
1,19031999WolfDort,1998-99,"Freitag, 19.03.1999",Wolfsburg ,Dortmund ,0,0,0,0,/wolfsburg-gegen-dortmund-1999-bundesliga-102751/spielinfo
2,20031999Hert1860,1998-99,"Samstag, 20.03.1999",Hertha ,1860 München ,2,1,1,1,/hertha-gegen-muenchen-1999-bundesliga-102749/spielinfo
3,20031999BayeBrem,1998-99,"Samstag, 20.03.1999",Bayern ,Bremen ,1,0,0,0,/bayern-gegen-bremen-1999-bundesliga-102752/spielinfo
4,20031999DuisFrei,1998-99,"Samstag, 20.03.1999",Duisburg ,Freiburg ,1,0,0,0,/duisburg-gegen-freiburg-1999-bundesliga-102753/spielinfo
5,20031999StutMgl,1998-99,"Samstag, 20.03.1999",Stuttgart ,M'gladbach ,2,2,1,0,/stuttgart-gegen-mgladbach-1999-bundesliga-102754/spielinfo
6,20031999BochKla,1998-99,"Samstag, 20.03.1999",Bochum ,K'lautern ,1,2,1,0,/bochum-gegen-klautern-1999-bundesliga-102755/spielinfo
7,20031999NürnFran,1998-99,"Samstag, 20.03.1999",Nürnberg ,Frankfurt ,2,2,1,1,/nuernberg-gegen-frankfurt-1999-bundesliga-102756/spielinfo
8,21031999RostHSV ,1998-99,"Sonntag, 21.03.1999",Rostock ,HSV ,0,1,0,1,/rostock-gegen-hsv-1999-bundesliga-102748/spielinfo
