,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,19051973DüssBaye,1972-73,"Samstag, 19.05.1973",Düsseldorf ,Bayern ,0,0,0,0,/duesseldorf-gegen-bayern-1973-bundesliga-17675/spielinfo
1,19051973StutWupp,1972-73,"Samstag, 19.05.1973",Stuttgart ,Wuppertaler SV ,4,2,3,2,/stuttgart-gegen-wuppertal-1973-bundesliga-17676/spielinfo
2,19051973BochOffe,1972-73,"Samstag, 19.05.1973",Bochum ,Offenbach ,2,3,0,1,/bochum-gegen-offenbach-1973-bundesliga-17677/spielinfo
3,19051973FranKöln,1972-73,"Samstag, 19.05.1973",Frankfurt ,Köln ,5,0,0,0,/frankfurt-gegen-koeln-1973-bundesliga-17678/spielinfo
4,19051973MglScha,1972-73,"Samstag, 19.05.1973",M'gladbach ,Schalke ,4,1,1,0,/mgladbach-gegen-schalke-1973-bundesliga-17679/spielinfo
5,19051973KlaOber,1972-73,"Samstag, 19.05.1973",K'lautern ,Oberhausen ,6,2,4,1,/klautern-gegen-oberhausen-1973-bundesliga-17680/spielinfo
6,19051973DuisHert,1972-73,"Samstag, 19.05.1973",Duisburg ,Hertha ,2,1,1,0,/duisburg-gegen-hertha-1973-bundesliga-17681/spielinfo
7,19051973HannBrem,1972-73,"Samstag, 19.05.1973",Hannover ,Bremen ,2,2,1,1,/hannover-gegen-bremen-1973-bundesliga-17682/spielinfo
8,19051973HSV Brau,1972-73,"Samstag, 19.05.1973",HSV ,Braunschweig ,1,0,0,0,/hsv-gegen-braunschweig-1973-bundesliga-17683/spielinfo
9,22051973SchaKöln,1972-73,"Dienstag, 22.05.1973",Schalke ,Köln ,2,2,1,2,/schalke-gegen-koeln-1973-bundesliga-17662/spielinfo
