,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,30042005BochMain,2004-05,"Samstag, 30.04.2005",Bochum ,Mainz ,2,6,1,1,/bochum-gegen-mainz-2005-bundesliga-677941/spielinfo
1,30042005KlaBaye,2004-05,"Samstag, 30.04.2005",K'lautern ,Bayern ,0,4,0,2,/klautern-gegen-bayern-2005-bundesliga-677942/spielinfo
2,30042005FreiDort,2004-05,"Samstag, 30.04.2005",Freiburg ,Dortmund ,2,2,1,2,/freiburg-gegen-dortmund-2005-bundesliga-677943/spielinfo
3,30042005BremBiel,2004-05,"Samstag, 30.04.2005",Bremen ,Bielefeld ,3,0,1,0,/bremen-gegen-bielefeld-2005-bundesliga-677944/spielinfo
4,30042005SchaLeve,2004-05,"Samstag, 30.04.2005",Schalke ,Leverkusen ,3,3,3,1,/schalke-gegen-leverkusen-2005-bundesliga-677945/spielinfo
5,30042005RostHert,2004-05,"Samstag, 30.04.2005",Rostock ,Hertha ,2,1,1,0,/rostock-gegen-hertha-2005-bundesliga-677946/spielinfo
6,30042005MglStut,2004-05,"Samstag, 30.04.2005",M'gladbach ,Stuttgart ,2,0,2,0,/mgladbach-gegen-stuttgart-2005-bundesliga-677948/spielinfo
7,01052005WolfHSV ,2004-05,"Sonntag, 01.05.2005",Wolfsburg ,HSV ,1,0,1,0,/wolfsburg-gegen-hsv-2005-bundesliga-677947/spielinfo
8,01052005HannNürn,2004-05,"Sonntag, 01.05.2005",Hannover ,Nürnberg ,1,0,0,0,/hannover-gegen-nuernberg-2005-bundesliga-677949/spielinfo
